stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0
 10-12,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,0,0,0,0,0,0.86,0,0.88,0,0,1.09,9.94,0,0,0,0,0,0,0.98,0,0,0,0,0
 24-34,0,0.73,0,0,0,0,0,0,0,0.62,0,0,0,0,21.61,0,0,0,0,0,0,0,0.65,5.77,0,0,0
 36-46,0,0,0,8.12,0.85,0,0.83,0,0,0,1.4,0,13.42,0,28.17,0,0.95,0,0,8.48,0,0,0,4.78,2.3,0,1.22
 48-58,0,0.37,0,6.18,1.78,0,0,0,0,0,2.7,0,0,0,4.92,0.6,0,0.42,0,0,0,0,0,3.06,0,0,0
 60-70,0,0,0,12.81,1.48,0,0,0,0,2.6,9.94,0,0,0,28.7,0,0,0,0,0,0,0,0,9.16,1.59,0,0
 72-82,0,2.21,0,15.2,0.59,0,0,0,0,0,4.31,0,0,0,31.34,0,0,0,1.67,0,0,0,0,1.09,0,0,0
 84-94,0,1.2,0,9.17,0,1.52,0,0,0,1.25,8.24,1.71,0,4.12,18.05,0,0,0,7.18,0,0,0,0,0,0,0,0
 96-106,0,0,0,6.66,3.9,0,0,0.63,0,0,6.16,5.26,0,0,7.55,0,0,2.01,0,2.19,0,0,0,0,6.17,0,0
108-118,0,0.88,0,0.97,1.22,0,0,0,2.1,0,2.63,0,1.23,0,26.33,0,0,0,0,3.31,0,0,0,0,0.82,1.03,0
120,0,5.01,0,4.5,4.9,11.59,0,0,0,0,8.95,0,0,0,46.47,0,0,0,0,4.97,0,0,0,0,0,0,0
