stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0,32.88,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,10.67,0,0,0,0,0,0,10.07,0,0,0,0,0,0,0,0,36.58,4.73,0,0,7.48,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,42.71,4.32,0,0,0.95,0,0,0,3.95,9.03,0,0,0,0,43.45,0,13.81,11.02,2.89,0,0,0,2.32,1.52,0,1.23,3.23,0,0,0
 24-34,0,0,0,119.41,0.96,0,1.19,2.74,0,0,0,4.49,4.8,0,0,0,0.86,5.73,2.38,5.56,44.78,1.53,1.45,0,0,34.19,0,3.79,0,7.25,0,0.64,0
 36-46,0,0,0,91.23,0,0,2.91,15.03,0,0,0,1.36,2.62,0,0,0,1.94,0.59,4.2,1.39,21.95,0,0,1,0,69.46,0,3.79,0,1.31,0,0,0
 48-58,0,0,0,61.97,0,0,17.71,10.92,0.41,0,0.49,1.2,1.75,0,12.27,0.65,0,5.09,18.53,0.38,12.75,0,0.48,0,0,29,0,1.92,0,3.4,0,0,1.07
 60-70,0,0,0,87.71,0,0,19.54,17.1,0,1.1,0,0,0,0.64,0.61,0,0,15.04,16.31,0,22.58,0,2,0,0,52.38,0,0.63,0,1.13,0,0,0
 72-82,0,1.8,0,37.15,0,1.22,4.56,13.98,1.46,2.11,6.72,1.04,0.74,0,3.41,0,1.03,8.24,16.77,0,31.48,0,2.01,2.11,0,11.39,0,0,0,1.58,0,0.98,0
 84-94,0,0,1,83.89,0,0,6.9,11.63,0,0.56,8.28,2.66,0,0,3.15,0,0,2.32,41.35,0.57,7.54,0,3.08,1.5,0,40.29,0,0,0,0,1.38,0,0
 96-106,0,0,0,62.36,0,0.62,6.89,13.35,0,6.15,7.69,1.32,0,0,2.32,0,1.3,0.91,37,0,16.39,1.15,2.94,0,0,17.34,0,0,0,3.84,0,1.85,0
108-118,0,0.6,0,91.26,0,12.37,27.57,20.24,0,0,26.24,0,0.51,0.75,0,3.04,0,2.05,48.72,0,14.1,0,0.55,0.48,0,26.59,0,3.01,0,0,1.03,1.69,0
120,0,0,0,105.38,0,5.37,14.38,4.81,5.27,0,27.18,0,2.09,0,0,1.76,0,5.68,32.7,0,6.54,0,4.99,0,0,6.48,0,8.95,0,0,4.74,0,0
