stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,89.63,2434.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.24,0,0,0,0,0,0,0,0,0,0,0
  5-6,71.88,1133.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.69,17.23,0,0,0,20.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.79,0,0,0,0,0,0,38.78,0,0,0,0,0,34.75,0,0,0,0,0,0,0,0,0,0,146.88,13.48,0,0,41.64,4.33,17.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.89,0,0,0,23.64,0,0,0,0,0,52.47,0,0,0,0,0,0,0,0,0,0,317.77,0,0,0,294.17,0,3.78,4.76,17.28,0,18.78,0,0,0,0,0,0
 14-21,0,0,7.62,2.51,40.16,0,0,12.36,0,1.81,0,0.92,0,0,0,0,12.85,0,0,0,1.85,0,0,7.37,148,0,1.37,0,1.73,19.42,1.84,54.31,0,29.96,72.07,82.37,0,0,0,0,0
 24-34,0,0,7.21,0.77,16.59,0,0,29.11,0,1.43,0,0.64,0,0.76,1.71,0,9.7,0,10.67,1.19,7.59,0.95,0,2.45,735.51,3.41,8.55,2.76,0,49.12,0,0,0,5.97,16.69,129.23,0,0,4.35,0,5.52
 36-46,0,0,0.73,0,6.54,0,0,394.98,8.3,2.55,0,9.28,1.39,0,0,0,11.78,0.64,0,1.47,5.51,3.88,0,1.92,2722.7,0,5.7,0,0,71.89,0,0,0,0,0,403.64,0,0,0,0,0
 48-58,0,0,0.54,0,16.52,0,0,345.07,9.69,5.76,2.42,46.02,0,0,0,0,0.84,1.04,0,0,11.49,0.42,0,1.14,1652.5,0,1.2,0,0,43.68,0,0,0,2.26,0,358.68,0,0,1.69,0,0.85
 60-70,0,0,1.76,0,16.79,0.7,0,213.01,2.69,6.19,0.68,102.52,7.45,0,0,0,2.6,0,0,0,20.28,3.22,0,1.96,844.79,0,3.01,5.31,0,71.58,0,0,0,6.48,0,187.83,0,0.94,8.66,0,0.99
 72-82,0,0,2,0,6.15,3.31,0,83.26,2.12,5.37,1.17,66.72,4.13,0,0,0,1.25,0,0,0,24.35,1.13,0.9,4.15,592.27,0,10.78,3.36,0,45.13,0,0,0,4.81,0,20.5,2.49,0,15.73,0.75,2.26
 84-94,0,0,3.18,0,20.9,0,1.39,62.99,16.69,2.86,0.91,44.4,3.53,0,2.33,0.55,13.54,0.66,0,0,49.72,4.78,0.72,2.85,434.57,0.55,3.76,1.17,0,122.61,0,0,0,2.65,0,41.78,10.56,0,2.84,0,7.53
 96-106,0,0,4.6,0,6.04,0,0.84,85.84,4.3,4.56,0,48.78,3.48,0,0,1.7,4.2,1.6,2.95,0,14.98,1.47,0,1.98,284.68,0,9.03,0.87,0,91.19,1.35,0,0,1.52,0,18.66,7.82,1.16,8.12,0.62,0
108-118,0,0,4.02,0.74,16.42,0,0,50.17,3.1,7.91,2.16,62.7,2.97,0,0,5.78,3.77,1.34,2.05,0,13.81,1.59,3.97,1.85,364.67,0.67,4.9,2.43,0,106.24,0,0,0,5.3,0,20.76,1.68,0.5,0.59,0,3.36
120,0,0,0,0,23.32,0,0,40.35,0,10.17,0,57,0,0,0,0,10.21,0,3.61,0,5.87,0,0,0,533.89,0,0,6.42,0,38.54,0,0,0,0,0,10.44,1.27,0,2.39,0,0
