stage,eye,fin.mesenchyme,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,6.78,0,0,0,0
 10-12,0,0,0,0,0,0,19.86,0,0,0,0
 14-21,0,0,0,0,0.91,0,0,1.17,1.92,0,0
 24-34,0,0,5.97,0,1.47,0,0,0,0,0,0
 36-46,0,0,3.74,0,0,3.3,0,0,0,0,0
 48-58,0,0,0,0,0,1.38,0,0,0,0,0
 60-70,0,0,4.02,1.84,0,1.14,0,0,0,0.61,0
 72-82,1.04,0,0,0,0,0,0,0,0,0.9,0
 84-94,2.17,0,2.88,0,0,0,0,0,0,0,10.59
 96-106,3.42,0,4.61,0,0,0,0,0,0,0,0
108-118,0.86,0.52,2.1,0,0,4.52,0,0,0,0,0.87
120,0,0,16.93,7.65,0,19.76,0,0,0,0,0
