stage,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,112.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,107.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.38,0,3.85,0,0,0,4.27,0,3.91,0,0,0,0,0
 10-12,0,0,5.96,0,0,0,0,0,54.21,0,0,0,6.74,0,0,0
 14-21,0,0,0,0,0,0,0,1.1,0.82,0,0,1.13,0,1.43,0,0
 24-34,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,1.46,0
 36-46,0,0,0,0,0,0,0,0,12.55,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.55,0,0,0,0,0,0,0,1.43,0,0
 60-70,0,0,0,0,0,0.61,0,0,11.88,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0
 84-94,0,0.61,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.75
 96-106,0,0,4,0.86,0,1.25,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.63,0,2.99,0,0,0,0,0,0,0,0,0,0
