stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,279.15,3172.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.44,0,0,0,0,0,0,0,0,0
  5-6,244.98,3345.65,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,107.4,42.65,0,0,51.07,0,89.98,0,0,0,0,0,0,0,0,0
  7-9,53.17,44.99,0,49.35,0,0,0,114.3,0,0,0,0,0,25.31,0,0,0,0,0,0,0,0,0,0,0,1171.84,38.43,0,0,475.4,0,15.82,48.75,0,0,0,0,0,0,0,0
 10-12,0,23.64,0,6.15,0,0,0,37.57,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,213.21,16.63,0,0,122.85,0,0,11.92,0,24.56,0,0,0,0,0,0
 14-21,0,0,1.23,0,102.76,0.91,0,0.9,0,0,0,0,0,0,0,0,15.19,0,0,0,0,6.46,1.17,0,6.45,56.42,2.77,0,5.07,0,0,3.69,1.31,12.04,3.23,6.35,9.91,8.13,0,3.24,0
 24-34,0,0,0,0,6.25,0,0,0,0,0.63,0,1.12,3.67,0.76,0,0,6.85,0,1.01,0,0,3.81,0.71,0,2.98,27.73,0,7.37,0,0,0,3.86,1.06,0,0,0.94,0,1.5,0,26.66,0
 36-46,0,0,0,0,4.39,0,0,0,0,0,0,0,3.61,0,0,4.27,2.34,0,1.5,0,0,1.45,0,0,0,27.28,0,13.27,0.6,0,0,32.26,1.61,0,0.63,0.79,0,1.39,0,15.15,0
 48-58,0,0,0,0,5.9,0,0,0.44,0,2.41,0,0.47,0.4,0.54,0,1.5,0.99,0,0,0,0,2.92,4.21,0,0,16.25,0,6.33,0,0,0,25.94,0,0,0,0,0,0.89,0,18.88,0
 60-70,0,0,0,0,5,0,0,9.86,0,2.76,0,57.58,12.01,0,0,16.35,1.69,0,0,1.33,0,4.83,0,0,0,59.55,0,3.83,0.62,0,0,44.65,0,0,0,0,0,1.09,0,31.86,0
 72-82,0,0,0,0,7.94,0,0,18.13,0,0.53,1.67,569.44,28.9,0,0,38.95,0,2.49,2.07,0,5.13,4.69,1.75,0,1.5,73.89,0,4.58,4.17,0,0,28.66,0.56,0,0,0,0,9.19,1.03,35.47,0
 84-94,0,0,1.16,0,45,0,0,23.75,8.84,6.02,1.17,915.51,70.37,0,0.78,60.31,0.83,0,1.7,0.57,2.16,13.74,7.08,0,1.59,36.99,0,24.55,1.1,0,0,161.71,0,0,4.08,0,0,0,11.61,59.88,1.95
 96-106,0,0,0,0.64,105.64,3.93,0,53.43,0.9,33.95,0,2285.37,109.61,0,3.94,101.87,9.24,1.14,7.49,15.82,10.03,50.34,9.21,10.73,7.35,121.88,0,66.82,3.96,0,1.44,600.01,1.39,0,7.93,0,0,0,15,88.62,1.67
108-118,0,0,0,1.09,139.15,2.5,0.78,24.68,0,35.96,0,2721.22,169.78,0,0,67.26,24.52,15.21,7.14,29.13,2.99,34.89,12.04,5.11,8.69,169.39,0,38.86,10.89,0,0,357.12,1.11,0,7.96,0,0,1.4,13.47,102.06,0
120,0,0,0,0,152.19,13.91,14.01,21.24,0,66.5,13.07,2405.94,113.59,0,2.63,101.81,14.66,0,5.54,35.05,9.15,76.18,25.07,13.18,8.42,83.54,0,14.75,8.81,0,3.68,808.46,3.07,0,11.14,1.52,0,10.83,33.6,114.35,1.05
