stage,blastomeres,epidermis,eye,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,pgc,spinal.cord,taste
  3-4,52.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.35,0,0,5.15,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.9,0,5.99,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0.96,0
 24-34,0,0,0,0,0,0,0,0,0.73,0,2.51,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0.67,0
 48-58,0,0,1.43,0,0,0,2.57,0,0,1.38,4.56,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.72,0.68,0,0,5.12,1.44,0,0,0,0
 72-82,0,0,1.52,0,0,0,1.38,3.49,0,5.4,1.82,0,0,0,1.27,0.53
 84-94,0,0.93,0,0,0,0.64,10.44,0,0,8.6,9.16,0,0,0,0,0
 96-106,0,0,0,0,0,0,9.03,0,0,0.71,2.45,0,0,0,0,0
108-118,0,0,0,0,2.82,0,31.02,0,0,1.41,2.12,0,0,0,0,0
120,0,0,0,1.66,0,0,22.22,0,0,0,7.8,0,0,0,0,0
