stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,melanocytes,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,15.09,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0
 36-46,0,0,0,1.43,0,0,0,0,2.79,0,3.75,1.29,0,0.77,0
 48-58,0,0,0,0,0,0,0,0,0.54,0,1.62,20.76,0,0,0
 60-70,0,0,0,5.09,0,0,0,0,1.33,0,4.19,13.08,0,0,0
 72-82,0,0.88,0,19.02,0.56,3.78,0,0,1.32,3.21,7.61,2.38,0,0,0
 84-94,0,0,0,41.04,0,2.72,0,1.11,5.88,5.69,1.22,9.65,0,0,0
 96-106,3.17,1.57,0,27.21,0,9.23,0,0,3.01,0,0,3.17,0,0,0
108-118,0,0,0.59,30.03,0,3.08,0.66,0,4.99,0.55,1.59,6.2,0.47,0,1.17
120,0,0,0,18.97,0,0,0,0,5.32,0,7.19,9.23,0,0,0
