stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.4,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,16.71,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,10.96,0,0,0,0,0,0,0,0.81,0,0,0,0
 24-34,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0.84,0,0
 36-46,0,0,0,0,0,0,0,23.53,0,0,0,0,0,10.96,0,0,0,0,0,0
 48-58,0,0,0,4.01,0,0.76,0,153.51,0,0,0.86,0,0,2.45,0,0,0.67,0,0,2.34
 60-70,0,0,0,1.13,0,0,0,145.32,0,0,5.29,0,0,11.17,5.44,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.89,269.34,0,0,1.27,0,0,4.86,16.2,0,0,0,0,0
 84-94,0,0,0,0.58,0,0,0,267.84,0,0,0.87,1.16,0,1.21,6.95,0,0,0,0,0
 96-106,0,0,0,0,0.99,0,0,281.85,0.79,17.4,0,0,0.59,1.86,55.43,0,1.14,2.09,1.24,0
108-118,0,0,3.56,5.21,0,0,0,128.27,0,0,0,1.97,1.35,3.91,44.24,0,4.41,0,0,0
120,0,0,0,0,0,0,0,146.66,0,0,0,0,0,3.6,35.15,0,0,0,0,0
