stage,epidermis,erythrocytes,eye,glial,gut,heart,immune,lateral.line,mesenchyme,mucous,neural,otic,pronephros,spinal.cord,vasculature
 14-21,0.99,2.01,0,1.13,0,0,0,0,0,0,0,0,2.37,0,0
 24-34,0.88,0,0,0,0,0,0,0,0,0,0,1.68,0,0,5.71
 36-46,0,0,0,0,0,0,0,0,0,0,2.34,0,0,2.6,2.43
 48-58,0,0,0,0,0.49,0,0,0,0,0.59,0.7,0,0,0,1.55
 60-70,0,0,2.66,0,0,0,0,0,0.97,0,11.44,0,0,0,0.72
 72-82,0,0,4.02,0,0,0,0.54,0,0,0,0,0,0,0,6.37
 84-94,0.62,0,7.77,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,26.88,0,0.57,2.23,0,0,0,0.67,1.78,0,0,0,6.11
108-118,0,0,7.16,0,0.78,0,0,2.63,0,0,0,0,0,0,5.27
120,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,2
