stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  5-6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,12.22,17.66,0,0,0,0,0
 10-12,0,4.92,0,0,0,0,0,0,0,0,0,0,0,5.1,0,13.26,0,0,5.71,4.75,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.55,1.85,0,0,0,4.97,0,24.41,2.31
 24-34,0,0,0.64,0,0,0,0,0,0.94,0,0,1.5,4.16,5.77,0,0,0,0,0,1.14,2.42
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.94,1.9,20,0,0,0,0,0,0,1.23
 48-58,0,0,0.97,0,7.28,0,0,0,0.4,0,0,0.97,0.53,4.15,0.52,0,0.45,0,0,0,0.95
 60-70,0,0,0,0,4.19,0,10.77,0,0,0,0,1,2.62,14.04,0,0,0,0,0,0,0
 72-82,0,0,0,0,7.32,0,0,0,0,0,0,0.64,0.86,16.82,0,0,0,0,0,0,0
 84-94,0,0,0,2.52,24.77,3.54,0,0,0,0,0,2.13,0.6,30.98,0,0,0,0,0,0,0
 96-106,0,0,0,0,5.46,0,0,0,0,0,1.5,0,0,0,0,0,0.56,0,0,0,4.18
108-118,0,0,2.95,0,6.72,0.93,0,0,0,0,0,0,0,1.43,0,0,0.6,0,0,0,0
120,0,0,0,0,0,11.21,1.73,0,0,10.24,0,0,0,12.05,0,0,0,0,0,0,0
