stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.05,124.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0
  5-6,0,235.87,0,0,0,0,0,0,0,28.49,0,0,0,0,0,85.38,0,0,19.06,0,0,0,0,0,0,0
  7-9,19.64,6.88,0,6.65,0,0,27.75,0,0,8.95,0,0,0,0,0,179.1,7.86,0,73.99,3.92,0,0,0,0,0,0
 10-12,0,6.23,0,13.01,0,5.1,18.19,0,0,0,0,0,0,0,0,192.23,0,0,66.47,3.1,0,9.31,0,0,0,0
 14-21,0,0,0,0,1.88,0,1.43,0,1.51,0,0,0,0.83,0,0,16.83,0,0,0,0,4.12,0,1.4,5.2,0,0
 24-34,0,0,0,0,0.98,0,2.65,1.86,0,0,0,0,3.32,0,1.39,19.46,0,1.85,0,0,0,1.59,0,4.46,0,0
 36-46,0,0,0,0,0.59,0,3.69,0,0.62,0,0,0,0,0,0,38.91,0,1.21,0,0,0,0,0,3.9,0,0
 48-58,0,0,0,0,0,0,5.72,0,0.63,0,0,0,4.71,0,0,11.4,0,0,0,0,0,0,0,0.86,0,1.36
 60-70,0,0,0,0,0,0,7.08,0,1.48,0,0,5.4,0,0,1.02,8.92,0,0,0,0,0,0,0,3.48,0,0
 72-82,0,0,0.62,0,0,0,0.55,0,0,0,0,0,0,0,0,16.16,0.56,0,0,0,0,0,0,5.92,0,0
 84-94,0,0,0,0,0,0,3.16,0,2.12,0,0,0,0.67,0,0,5.08,0,2.78,0,1.26,0,0,0,0,0.59,0.63
 96-106,0,0,0,0,0,0,6.58,0,0.72,0,0,0,3.44,0,0,3.95,0,0,0,0,0,0,0,0,0,0.99
108-118,0,0,0,0,0,0,4.19,0,0,0,0,1.02,0,0,1.42,9.96,0,0,0,0,0,0,0,1.75,0,0
120,0,0,0,0,0,0,0,1.93,4.35,0,3.9,1.11,3.24,3.62,0,11.99,0,0,0,0,0,0,0,0,0,0
