stage,erythrocytes,fin.mesenchyme,gut,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,vasculature
  7-9,0,0,0,0,0,0,0,0,21.45,0
 14-21,2.19,0,0,0,0,1.35,0.93,0,0,5.23
 24-34,0,0,0,0,0,0,0,0,0,4.25
 48-58,0,0,0,0,0,0,0,4.23,0,0
 60-70,0,0,0,0,2.55,0,0,0,0,0
 72-82,0,0,0,0,9.27,0,0,0,0,1.21
 84-94,0,0,4.05,0,14.28,0,0,0,0,0
 96-106,0,2.11,0,3.34,19.05,0,0,0,0,0
108-118,0.75,0,0,1.42,6.88,0,0,0,0,0
120,0,0,0,0,10.27,0,0,0,0,0
