stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  3-4,14.77,0,0,0,0,0,0,0,0,0
  5-6,7.9,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,18.1,0,4.05,0,0
 10-12,0,0,21.86,0,0,3.08,0,9.84,0,0
 14-21,0,0,0,0,0,1.44,0,0,0,0
 24-34,0,0,0,0,0,5.36,0,0,0,0
 36-46,0,0,1.46,0,0,2.79,0,0,2.58,0
 48-58,0,0,2.96,0,0,2.57,0,0,1.03,0
 60-70,0,0,0,0,0,1.17,0,0,0,0
 72-82,0,0.69,0,0,1.79,1.2,0.53,0,0,0
 84-94,0,0,3.37,0,0,0,0,0,0,1.09
 96-106,0,0,0,1.78,0,0,0,0,0,0
108-118,0,0,0,1.65,1.19,0,0.66,0,0,0
