stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,21.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0
 10-12,0,0,0,34.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.88,6.02,0,0,3.49,0,0,0,0,0
 14-21,0.89,0,1.64,18.18,17.57,1.05,0,0.9,0,0,0,0,20.14,0,0,0,4.09,0,0.91,21.04,0,1,0,107.09,0,0,0,0,0
 24-34,0,0,0.62,35.78,3.33,1.41,0,0.65,0,0,0,0,22.71,0,0,5.85,0,0,0,15.43,0,0.62,0,81.32,3.89,0,0,0,0
 36-46,0,0,0,2.02,8.89,0,0,0.76,0,0,0,1.02,11.55,0,0,9.24,0.81,0,0,18.96,0,3.46,0,51.63,2.17,0,0,0,0
 48-58,0,0,0.42,0.4,0,0,0,0,0,0,0,0.95,8.82,0,0,24.61,0,0,0,3.73,0,0.4,0,28.04,0.54,0,0,0,0
 60-70,0,0,2.92,0,0,0,0,10.84,0,0,0,3.84,29.49,0,1.16,13.98,1.42,0,0,61.01,0,0,0,23.09,9.07,0,0,0,0
 72-82,0,0,22.84,1.81,0,0,2.05,24.58,0,0,0,0.49,131.89,2.29,0,8.05,1.71,0,2.86,51.7,0,5.54,0,50.84,8.4,0,0,0,0
 84-94,0,0,27.84,5.34,1.9,0,5.34,8.69,0,0.57,0,10.45,209.08,0,0,23.61,0,0,0.87,39.78,0,1.18,0,115.85,0.65,1.38,1.33,0,0
 96-106,0,0,31.22,5.08,0,4.41,0,7.98,0,0,1.02,4.04,278.12,1.05,0.69,24.6,15.35,0,0,69.72,0,7.53,1.35,95.03,0,0,2.9,0,1.22
108-118,0,0,18.14,9.58,0,5.64,8.41,18.13,0.76,0.88,0.48,13.55,310.42,0,0,46.68,10.51,0,0.52,69.83,0,4.12,0,91.5,0,0,0,1.28,0
120,0,0,27.34,0,0,0,4.32,6.06,0,0,0,38.95,287.52,0,0,19.42,9.95,2.21,0,50.05,0,2.03,0,60.95,0,0,4.33,0,0
