stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,23.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.63,0,0,35.68,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.36,0.89,0.83,0,0,0,0,0,0,0,0,1.88,0,0,2.08,13.67,0,0.81,5,2.91,4.22,0,0.81,9.43,0,0,0.9,0
 24-34,0,0,0,0,0.6,0,0,0,5.13,0,0.81,0,0,0.9,0,0,0,0,50.87,0.7,0,0,4.81,0,0.85,0,5.8,0,0,0,0
 36-46,0,0,0,0,1.47,5.92,0,0,14.48,0,0,0,0.72,95.69,0.7,0,0,0,92.39,0,0,0,1.62,0,0,0,3.59,0,0,0,0
 48-58,0,0,0,0,0,14.93,0,0,18.84,0,5.46,4.25,0,201.6,0,0,0,0,154.93,0,0,0,0.8,0,0.43,0,29.11,0,0,0.63,0
 60-70,0,0,0,0,0,39.43,0,1.37,5.91,0,0.93,2.61,0,42.56,1.84,0,0,0,368.05,0,0.85,0,1.48,0,0,0,88.71,0,0,0,7.21
 72-82,0,0,0,3.34,4.86,71.19,0,0,14.86,0,0.52,12.65,0,77.12,6.65,0,0,0,586.9,0,0,0,1.03,0,0,0,52.32,0,0,0,0
 84-94,0,1.62,0,6.05,0,46.92,0,0,7.26,0,0,70.29,0,184.6,0,0.65,0,0,392.35,0,0,0,1.94,0,0,0,95.04,0,0.71,6.95,2.45
 96-106,0,1.43,0,3.3,2.72,39.73,0,3.15,6.06,0,0,64.49,0,73.7,0,0,1.03,0.71,397.4,0,0,0,1.04,0,0,0,18.75,0,0,3.6,6.49
108-118,0,0,0,7.53,4.67,43.97,4.79,0,2.93,0.83,0,174.93,0.45,125.42,8.62,0,0,0,570.08,0,0,0,0,0,0.61,0.55,1.98,1.13,0,2.22,17.83
120,0,0,0,5.65,0,59.7,0,0,0,0,0,76.62,0,73.81,0,0,0,0,553.56,0,0,0,0,0,0,0,0,0,0,0,3.28
