stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,403.98,0,0,0,0,0,3.93,1.25,3.04,0,0,0,0,0
 24-34,0,0,3.52,0,0,26.35,0,0,0,22.49,0,0,0,0,0,1.58,3.43,11.5,0.87,0,1.59,4522.82,1.15,3.12,0,0,3.54,2.31,0,258.81,0,0,0,0,3.18
 36-46,0,0,0.71,0,0,241.55,0,0,2.57,350.6,0,0,0,0,0,1.77,22.02,14.46,0.72,0,0.86,6827.5,3.73,0,0,0,9.42,0,0,599.58,0,0,1.24,0,0
 48-58,0,0,5.38,0,0,280.09,0,5.88,0,850.99,0,0,0,0,0,1.25,0,10.44,0,0,2.91,2839.94,0.5,3.39,3.89,0,0.38,0,0,227.83,0,0.64,2.46,0,1.12
 60-70,4.15,0,7.12,0,10.67,248.43,0,0,0,875.42,1.36,0,1.17,0,1.52,7.49,0,9.58,0,1.02,0,491.71,0,0,0,0,4.12,0,0,79.73,0,0,0,0,0
 72-82,0,0.5,0,1.6,213.12,277.38,0,0,0,781.16,8.9,0,0,0,0,0.59,0,15.09,0,1.19,0.84,409.26,0,0,0,0,2.03,0,0,19.03,0,0,0,0.52,0
 84-94,0,0,21.37,0,575.53,180.01,0,0,0,602.16,31.48,0,0.59,0,0,7.18,0,16.52,0,2.94,0.55,416.41,0,0,5.41,0,5.68,0,0,33.44,0.6,0,1.35,0,0
 96-106,0,0,11.7,13.54,513.62,195.63,0.67,0,0,675.91,40.1,0,1.57,0,0,17.53,0,27.04,0.9,0,1.45,368.29,0,2.43,0,0,6.47,0,0,4.81,0,0,1.67,2.48,3.52
108-118,0,0,6.07,0,719.76,238.6,0,1.8,0,875.57,73.7,0,2.37,0.57,0.43,3.67,1.95,19.63,0,8.74,2.08,649.03,1.08,0,0.71,0.96,3.57,0,0,0,0,0,0,0,0
120,0,0,0,0,214.92,87.87,0,0,0,956.7,52.48,1.17,0,0,0,4.47,0,11.03,1.56,0,2.42,401.68,0,0,2.38,0,3.5,0,0,0,0,2.71,0,1.8,0
