stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,15.07,166.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.59,86.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0,18.19,0,0,12.68,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.07,0,0,8.81,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.86,0,0,0,2.73,1.83,0,0,0,0,1.08,2.02,0,0,0
 24-34,0,0,0.67,0.61,6.58,0,0,0,0,0,0,0,3.74,0,0,0,0,0.82,0.96,34.76,0,1.61,0,0,3.88,1.36,2.59,0,0,0
 36-46,0,0,1.18,0,4.22,1.38,0,0,1.51,0,0,0,3.5,0,0,0.64,1.37,0,1.34,36.23,0,0,0,0,0,0,3.83,0,0,0
 48-58,0,0,2.9,0,5.71,0,0,0,2.26,0.38,0,0,11.97,0,0,2.8,0,0,2.44,15.15,0,0,0,0,4.67,0,2.25,0,0.67,0
 60-70,0,0,0,0,6.51,0,7.34,0,4.19,0.95,0,0,0,0,0,8.41,0,0,0,15.97,0,0,0,0,0,0,5.69,0,0,0
 72-82,0,0,1.61,0,1.1,0,0,0,4.85,0.74,0,0,1.27,0,0,5.23,0,0,0,1.91,0,0,0,0,2.64,0,0,0,3.42,0
 84-94,0,0,5.05,0,3.4,0,3.09,0,0.96,0.75,0,0,0.82,0,0,16.01,0,1.94,1.92,17.3,0,0,0,0,10.83,0,0,0,1.67,0
 96-106,0,0,3.15,0,1.4,0.9,4.75,0,8.91,5.54,0,0,1.49,3.85,0,12.52,0,4.84,0.83,1.45,0,0,0,0,7.46,0,0,0,0,0.72
108-118,0,0,11.22,0,6.87,0,2.21,2.53,9.53,0.68,0,0,0.85,0,0.47,14.38,0,0,2.09,5.57,0.83,0,0,0,4.12,0,0,0.41,1.22,0
120,0,0,8.87,0,14.53,0,8.55,0,33.35,2.11,0,7.38,7.56,1.37,0,46.6,0,0,0,8.96,0,0,0,4.22,3.81,0,0,0,0,0
