stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,0,31.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,145.56,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.58,0,0,11.21,0,0,33.47,0,0,0,0,0,0,0,0,0,56.41,7.21,0,47.12,0,0,0,0,0,0
 10-12,0,0,0,4.28,0,0,8.59,0,0,0,0,0,0,0,0,0,156.71,9.4,0,38.21,0,6.12,14.53,0,0,0
 14-21,0,0,0,0,0.95,0,0.9,0,0,0,0,0,0,2.54,0,0,15.66,0,0,0.88,0,2.43,0,0,1.94,3.52
 24-34,0,0,0,0,0,0,2.17,0,0,0,0,0,0,1.09,0,0,5.82,0,0,0,0,0,0,0.95,0,10.8
 36-46,0,0,0,0,1.1,0,8.05,0,0,0,0,0,0,0.58,0,0,19.99,0,0.76,0,0,0,0,0,0,4.45
 48-58,0,0,0,0,0,0,4.1,0,0.57,0,0,0,0,0,0.5,0.45,9.87,0,0,0,0,0,0,0,0,2.1
 60-70,0,0,0,0,0,0,0.76,3.15,0,0,0,0,0,0.63,0,0.75,26.2,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.61,0,0,0,11.73,0,0,0,0,0,0,3.6,0,1.32,21.64,0,0,0,0,0,0,0,0,4.61
 84-94,0,0,0,0,0,0.57,1.42,0,0.98,0,0.67,0,0.82,2.29,0,0,16.94,0,0.66,0,0,0,0,0,0,0.98
 96-106,0,0,0,0,2.22,0,2.36,0,0,0,0,0,0,3.9,0,0,4.05,0,0,0,1.71,0,0,0,0,2.65
108-118,0,0,0,0,0.59,2.06,5.33,0,0,0,0,1.03,0,1.79,0,0,4.85,0,1.44,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,9.8,0,0,28.89,0,0,0,0,0,0,0,0,0
