stage,epidermis,fin_epithelia,glial,gut,hatching_gland,immune,mesenchyme,neural,periderm,vasculature
  5-6,0,0,0,0,0,0,0,0,6.81,0
 14-21,0,0,0,0,0,1.05,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.16,0,1.22
 36-46,0,0,0,0,0,0.84,1.05,0.66,0,1.39
 48-58,0,0,0,0,0.7,4.82,0,7.39,0,5.04
 60-70,0,0,0,0,0,11.31,0,0,0,11.4
 72-82,0,0,0,0,0,19.12,0,0.5,0,20.26
 84-94,0,0.56,0,0.76,0,30.8,1.83,0.79,0,18.84
 96-106,0.91,0,0,0,0,54.88,0.76,0,1.67,2.05
108-118,0,0,0,0,0,53.34,1.27,0,0,14.39
120,0,0,3.65,0,0,49.9,0,0,0,11.89
