stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,lateral_line,melanocytes,mesenchyme,neural,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
  3-4,0,34.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,2.57,0
 24-34,0,0,0,0.81,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0.7,1.6
 36-46,0,0,0,0,0,0,0,0,0,0,1.14,0,3,0,0,0,5.66,0.82,0
 48-58,0,0,0,0,0,0,0.46,0,0,0,0,0.45,7.59,0,20.71,0,0,1.12,0.49
 60-70,0,0,0,0,1.19,0,0,0,0,0,0,0,10.45,0,0.81,0,0,1.79,0
 72-82,0,0,0,1.41,1.63,0,0.58,0.63,0.86,0.61,0,2,3.61,0,2.13,0,0,0,0
 84-94,0,0,0,5.71,10.33,0,0,1.57,0,0,0,1.21,10.49,0,5.35,0,0,0,0
 96-106,0,0,0,1.76,0,0,0,0,0,0,0,3.3,14.05,9.73,10.72,0,0,0,0
108-118,0,0,0,2.74,0,1.26,0,0,0,0,0,1.96,0,0,11.75,0,0,0,0
120,0,0,0,9.63,0,1,7.67,0,0,0,0,0,4.03,3.01,9.13,0,0,0,0
