stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,139.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.32,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0,0,29.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.73,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,26.06,0,0,0,19.04,0,0,0,0,0,38.27,0,0,0,0,0
 14-21,0,0,0,1.08,0,0,0,1,0,2.62,0,0,1.26,0,0,0,0,0,1.39,0,28.06,17.79,1.83,0,0,0,0,0.92,5.74,0,4141.24,1011.07,3.41,0,0,0,0
 24-34,0,0,0.7,4.12,0,1.2,0.61,0,0,1,0,0,31.62,0,0,0,1.3,0,4.05,0,21.71,27.95,2.93,0,0,0,0,1.26,0,0,568.71,37.07,8.26,0,6.11,0,0
 36-46,0,0,0,0,0.73,1.41,7.47,1.19,0,3.26,0,0,40.85,0,0,0,0,0.99,2.68,0,21.81,5.77,0,0,0,16.41,0,0,6.89,0,52.7,0,2.04,0,0,0,0
 48-58,0,0,0,0.47,0,4.76,29.04,1.86,0,2.54,0,0,43.37,0,0,0,0,5.05,5.35,0,58.57,29.04,0,0,1.88,0,0,0,0,0,39.33,0,3.27,0,0,0,0
 60-70,0,0,0,0,0,6.16,152.61,0,0,1.23,0.62,0,57.24,5.41,0,0,0,0,22.12,5.65,27.08,44.8,0,0,0.79,0,0,0.65,0,0,29.05,0,1.82,32.86,0,54.85,0
 72-82,0,0,0,0.95,13.48,34.54,200.7,0,1.83,30.15,0,0,23.14,0.63,0,0.69,1.31,0,43.7,28.15,18.5,39.84,0,1.33,0,0,0,3.88,0,0,3.38,0,1.35,92.45,2.14,379.75,3.38
 84-94,0,0,0,1.43,1.75,15.46,314.33,0,0,4.69,1.9,0,17.49,0,0,0,2.2,0,49.08,12.97,35.72,61.98,0,0,0.88,0,0,0,0,0,12.54,0,0,132.87,3.63,447.27,0
 96-106,0,0,0,2.49,10.03,28.22,474.03,0,0,5.82,0,0,50.93,0,0,0,0.57,0,82.46,32.76,83.38,49.39,0,1.84,0,0,0,15.45,0,0,1.92,0,0,145.69,8.29,630.6,0
108-118,0,0.57,0,7.2,3.94,70.54,417.46,1.2,6.04,10.53,0,0,39.02,0,0,0,0,5.63,83.01,25.59,21.58,100.64,2.26,0,1.26,0,1.81,2.14,0,0.61,0,0,5.3,125.67,5.84,500.54,0.59
120,0,0,0,5.3,21.93,2.21,284.35,0,1.85,8.84,0,0,28.57,0,1.59,0,0,0,16.49,15.78,1.56,97.6,0,3.36,0,0,0,1.89,0,0,1.32,0,0,141.43,5.42,532.66,0
