stage,eye,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,periderm,spinal.cord
 24-34,22.14,0,0,0,0,1.35,1.43,0,0
 36-46,124.6,0,0,0,0,0,5.07,0,0
 48-58,177.34,0,0,0,0.66,0,11.3,0.56,2.35
 60-70,391.72,0,0,0,1.64,0,1.2,0,0
 72-82,405.12,0,0,0,0,0,13.59,5.84,0
 84-94,112.91,0.58,2.75,0,1.19,0,7.65,0,0
 96-106,93.2,0,4.45,0,0,0,0.82,0,0
108-118,132.87,0,0,0.42,0,0,2.67,0,0
120,81.9,0,0,0,0,0,0,0,0
