stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.98,1040.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,48.36,831.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.15,55.21,0,0,0,0,0,15.8,0,0,0,0,25.48,0,0,0,0,0,0,0,0,0,0,0,448.09,0,0,0,104.71,0,0,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,22.33,0,0,0,0,0,40.73,0,0,0,0,35.61,0,0,0,0,0,0,0,0,0,0,0,184.26,0,0,0,103.12,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.72,22.85,8.42,0,13.21,0,0,1.01,0.82,11.6,0,0,0,0,0,0,0,8.33,0,0,28.9,149.18,0,3.47,1.72,4.78,0,3.76,0,33.82,4.67,36.86,43.53,0,0,1.01,0,0
 24-34,0,0,2.51,1.2,4.48,1.61,0,34.7,0,0,4.55,1.68,1.15,0,0,6.18,0,0,0,0,25.79,0.95,0,13.21,427.74,20.88,10.38,1.58,0,0,0,0,0,2.78,2.48,119.77,0,0,1.4,0,5.67
 36-46,0,0,0,0,25.52,0,0,40.13,0,0.6,7.52,0,0,0,0,0,0,0,0,0,19.64,2.44,0,10.59,823.25,0.97,15.85,1.46,0,0,0.58,0,0,5.13,0,121.7,0,0,0.87,0,0
 48-58,0,0,0,0,0,0,0,192.24,6.39,1.52,36.27,2.41,0,0,0,6.92,5.64,0.49,1.73,0.56,25.47,2.4,1.12,6.53,1078.83,1.2,11.65,0,0,0,0,0,0,3.86,0,162.03,0,0,2.15,0,1.32
 60-70,0,0,0.62,0,1.99,0,0,450.49,0,8.99,13.81,3.67,0,0,0.65,0,0,0,0,0.71,38.68,0,1.63,1.96,1191.67,0,9.6,2.38,0,0,0,0,0,1.54,0,162.19,0,0.61,0,0,0
 72-82,0,0,0,0,8.43,0,0,416.75,0,1.8,28.82,2.79,0,0.51,0.71,0.93,0,0,0,1.32,38.72,0,2.08,6.09,1126.39,4.13,11.68,0.81,0,1.4,3.49,0,0,1.86,0,62.82,0.51,2.2,2.63,4.64,5.72
 84-94,0,0,0,0,6.36,0,0.59,284.44,0,3.4,19.92,0.63,0,1.12,1.88,0,0,0,0,0,22.43,0,0,1.21,621.5,0,23.98,4.27,0,0,0.65,0,0,3.19,0,59.45,0,0,0.58,0,7.41
 96-106,0,0,1.06,0,4.11,0.59,0.84,273.12,2.47,3.94,21.81,4.37,0,0,6.27,3.2,0,2.78,0.99,0,45.12,0,0,6.58,532.06,0,4.27,5.17,0,0,11.16,0,0,0,0,21.28,0,1.88,0.97,0.86,2.94
108-118,0,0,1.83,0,9.18,2.57,1.67,260.91,0,0.9,23.68,3.31,0,0,1.35,0.69,0,0,0.44,0,35.3,0,1.08,5.96,527.68,1.12,6.77,1.03,0,2.06,5.22,0,0,1.9,0,14.01,1.43,1.37,5.56,2.27,3.96
120,0,0,0,0,23.23,4.09,0,259.43,1.36,0,8.82,15.82,0,0,4.7,0,0,0,5.66,0,27.96,0,0,11.75,742.36,0,1.54,1.51,0,0,0,0,0,0,0,42.96,0,0,0,0,0
