stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,313.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,0,0,0,0,0,0
  5-6,20.18,532.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.14,0,0,0,0,24.05,0,0,0,0,0,0,0,0,0,0
  7-9,0,42.22,0,54.8,0,0,116.66,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,653.95,4.71,0,0,174.89,0,6.96,0,0,0,0,0,0,0,0,0
 10-12,0,37.82,0,37.77,0,12.71,55.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315.34,30.88,0,0,430.83,0,0,0,42.71,0,14.36,0,0,0,0,0
 14-21,0,0,0.82,5.8,18.95,9.09,3.04,0,0,115.99,0,0,0,0,3.7,0,0,0,2.82,0,3.14,175.22,1.17,10.58,45.68,8.24,2.22,1.8,1.4,90.1,1.61,278.84,0,0,0,0,0
 24-34,0,0,1.23,0.76,2.9,4.25,14.05,5.86,0.79,127.2,0.89,0,0,0,10.08,0,2.1,0,9.26,0,1.5,186,1.49,50.95,7,0,2.93,0,0,46.71,1.5,256.75,0,0,15.26,0,0
 36-46,0,0,0,0,0.73,0.58,20.77,0,0,59.22,0,0,0,0,0.65,0,0.89,2.29,14.05,0,4.48,158.63,0.67,73.75,6.65,0,4.33,0,0,39.78,0,167.7,0,0,0,0,0
 48-58,0,0,0,0,0,0,28.95,0,0,57.56,0,0,0,0,8.51,5.25,3.75,0,8.93,0,3.28,115.39,0,41.25,6.81,0,4.17,0,0,2.72,0,127.26,0,0,0,0,0
 60-70,0,0,0,0,0,0,43.68,0,0.9,103.18,1.98,0,0,0,9.2,0,6.03,0,7.17,0,0.77,70.56,0,49.22,7.71,0,5.83,0,0,2.43,0,62.19,1.72,0,0,0,0
 72-82,0,0,0.69,0,3.15,0,51.82,0,0.6,62.46,0.82,0,1.45,0,12.44,0,6.43,0,17.32,0.51,0.63,56.49,0,63.99,11.25,0,0,0,0,3.63,0,29.28,0,0,0,0,0
 84-94,0,0,2.46,1.6,6.99,9.27,25,0,2.02,41.88,1.5,0,0.78,0,11.76,0,7.04,0,2.59,0,0.65,45.48,0,73.13,31.72,0,0.83,0,0,5.79,0,51.1,1.17,0,0,0,0
 96-106,0,0,0.87,0.58,2.69,0,17.45,0,0,67.49,0.76,0,1.44,0,11.95,0,13.44,0,12.18,0,0,22.01,0,98.78,20.03,0,2.52,0,0,5.43,0,26.76,1.64,0,0,1.29,0.8
108-118,0,0,2.01,0,2.12,0,21.03,0,0,45.82,1.84,0,1.62,0,17.74,0,6.51,0,7.08,0.53,0.95,39.13,0,65.03,25.04,0,1.2,0,0,5.62,0,14.94,0,0,0,0,0
120,0,0,0,0,1.23,0,17.57,0,0,32.02,1.61,0,1.85,1.18,18.69,0,6.64,0,18.96,1.48,0,121.2,0,45.99,43.51,0,1.27,0,0,23.64,0,16.11,0,1.52,0,0,0
