stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,neural,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0
 72-82,0,0,0,0,0,0,0,0.75,0,0,0,1.23,0,0,0,0,0,0,0,1.37,1.86,0
 84-94,0,0,0,0,0,0,0,3.32,0,0,0,10.83,0,0,0,0,0,0,0,0,2.71,0
 96-106,0,0,6.09,0,1.88,0,0,164.38,4.03,0,0,15.29,0,0,0,0,0,0,5.59,0,0,0
108-118,2.29,0.47,26.11,1.26,8.83,0,0.47,1107.44,6.43,2.02,0.83,48.92,3.11,0.91,1.28,0.96,1.1,0.6,4.28,0.77,3.34,0
120,0,0,18.45,7.65,5.7,1.14,0,968.9,17.97,0,6.37,90.54,0,0,0,0,0,0,0,4.26,2.57,2.85
