stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,10.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.22,0,0,0,8.96,0,11.84,0,0,0,0,0,0,0,0
 14-21,0,0,77.61,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,10.52,163.77,0.94,1.44,0,0,1.72,0,2.93,11.02,53.13,0,0,4.59,0,0
 24-34,0,0,15.87,0,0,4.24,2.77,0.86,0,0,0,0,0,1.01,0,0,2.41,0,26,0,0,14.03,505.05,0,15.18,0.65,0,1.5,0,0,0,128.88,0,0,4.27,0,0.89
 36-46,0,0,11.28,0,0,48.05,0,0,6.83,0,0,0,0,0,0.61,0,0,0,15.76,0,2.33,4.99,1057.43,0.64,8.71,0,0,0,0,0.58,0,200.38,0,1.23,0,0,0
 48-58,0,0,8.37,0,0,123.1,1.95,0,10.5,0,0,0,0,0,0,0,0,2.49,18.06,0,0,3.83,1436.73,0,5.94,0,0,1.45,0,0,0,238.35,0,0,2.06,0,0.62
 60-70,0,0,11.04,0.64,0,207.2,2.9,0,39.86,0,0,0,0,0,3.63,0,0,0,21.27,0,3.64,1.69,2587.82,5.48,8.73,2.46,0,3.91,0,0,0,250.16,0,0.83,0,0,0
 72-82,0,1.15,14.73,3.04,0,382.77,0,8.35,39.23,0.53,0,1.16,0.61,0,0.54,0,0,3.9,59.22,0,4.86,2.86,3051.88,0,7.42,1.42,0,6.88,0,0,0,274.01,0,2.06,2.04,0.75,14.7
 84-94,0,2.68,17.07,8.2,0,173.43,1.3,0,15.1,0,0,0,0.86,1.56,2.83,0.63,0,0,23.39,0,0,3.12,1479.4,0,1.46,0,0,2.41,0,0,0,99.89,2.1,4.81,1.76,5.05,0
 96-106,0,0,20.19,3.9,0,135.4,0.64,0,29.91,1.18,0,0,0.65,1.05,1.03,0,9.58,0,15.79,0,3.48,8.32,1574.03,0,2.42,2.02,0,2.3,0,0,0,90.61,0,0,2.32,1.1,11.2
108-118,0,1.22,16.08,0.46,1.66,172.25,0.71,0,27.07,1.1,0,0,0,2.59,5.14,3.04,6.31,0,32.83,1.18,1.19,12,2638.72,0,3.15,1.57,0,7.47,0,0,0,96.54,0,0,8.29,0,0
120,0,0,54.67,6.33,15.5,357.79,2.41,0,74.32,9.26,0,0,12.32,0,0,0,0,0,47.04,0,2.13,10.39,5843.93,0,4.55,0,0,3.6,0,0,0,119.14,0,0,17.35,0,0
