stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52,0,0,18.55,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15,0,0,14.37,4.52,0,8.1,0,0,0,0,0,0
 14-21,0,1.11,13.3,2.52,4.44,0,0,0,0,0,0,0,0,27.19,0,8.91,9.42,0,0,0,3.02,1.07,1.98,0,1.14,3.47,2.6,0,0
 24-34,0,0,14.35,0.81,37.02,0.85,5.63,4.1,0,0.73,0.83,0,2.05,102.2,0,52.97,57.7,0,1.95,0,18.47,0,0,0,0,6.48,3.15,0,0
 36-46,0,0,3.77,0,29.18,8.98,81.1,1.82,1.25,0,0,0,0,209.98,2.03,112.73,32.91,0,0,0,12.84,2.07,0,0,0,8.17,0,0,0
 48-58,0,0,1.44,0,42.89,3.49,113.06,1.64,0,0,0,0,0,350.8,0,90.83,60.52,0,0,0,6.03,2.68,0,0.5,0,11.98,0.96,2.4,0
 60-70,0,0,2.08,0,39.94,10.49,109.48,6.61,0,0,0,0,1.34,340.93,4.68,20.13,64.53,0,0,0,6.75,0,0,2.94,0,26.41,0,0,3.42
 72-82,0,0,0,0.73,31.64,2.15,127.55,8.88,0,0,5.22,0,0,533.19,0,46.64,71.79,0,0,0,1.74,0,0,0,0,7.29,0,2.04,0
 84-94,0,0,3.72,0,47.29,1.33,89.29,5.3,0,0.72,0,0,0.68,476.08,2.25,13.46,35.65,0.98,0,0,2.53,0,0,0,0,1.48,0,0,0
 96-106,0,1.98,0,0,33.07,2.97,67.95,6.57,0,0,0,0,0.7,406.77,0,13.39,50.41,2.53,0,0,0,0,0,0,0,2.12,0,0,0
108-118,0,0.79,0.42,0,6.24,2.23,91.94,0,0.65,0,0,5.31,0.47,385.77,0,15.9,77.04,0,0.76,0,2.04,0,0,0,0,1.84,0,0.91,0
120,0,0,0,0,24.47,3.37,85,0,0,0,0,0,7.74,295.11,0,4.73,63.12,0,0,0,0,0,0,0,0,14.77,0,0,0
