stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.91,30.5,9.38,0,17.26,0,0,0,7.06,1.38,0,0,0,0,0,0,1.54,19.28,0,0,14.43,139.96,11.07,1.83,2.14,6.78,0,7.82,31.35,3.42,6.47,29.43,45.36,0,0,4.06,0,0
 24-34,0,0,7.74,1.84,0,22.63,1.2,0,1.32,4.28,0,1.04,0,1.65,0,0,3.77,0.78,34.81,0,0,16.17,154.13,2.92,2.95,2.53,0,0,10.05,0,0.97,0,2.36,32,0,0,10.98,0,0
 36-46,0,0,5.69,0,0,14.8,0,0,2.8,12.76,1.04,4.56,0,0,0,0,0,4.72,44.47,0,0.63,6.74,127.59,0.66,2.12,1.79,0,0,9.23,0,0,6.93,0,28.41,0,0,3.09,0,3.62
 48-58,0,0,0,0,0,17.97,0.58,0.79,1.2,29.15,0,1.74,0,0,0,0,0,0,41.02,0,0.79,1.78,46.63,8.27,2.61,3.4,0,0,4.33,0,0,0,0,12.12,0,0,3.18,0,4.14
 60-70,0,0,7.51,0.93,0,42.34,0,5.28,1.51,14.64,0,0.88,0,0,0.87,0,0,2.31,57.23,0,2.7,4.2,66.52,0,8.46,0,0,0,15.38,0,0,0.65,0,8.46,0.81,0,3.79,0,1.15
 72-82,0,0,4.91,0.52,0,51.31,0,0,5.11,22.58,0.64,2.83,0.61,1.11,0,2.48,0,0.49,111.93,0,3.59,5.55,38.16,0,6.4,3.18,0,0.87,0.96,0,0,0,0,7.47,1.69,9.85,6.68,3.86,25.04
 84-94,0,0,9.37,5.72,0,36.12,0,0.66,0,37.14,1.5,4.44,0,0.61,0,9.86,0,0,98.95,2.69,2.28,7.49,24.19,1.89,6.71,0,0,0,16.94,0,2.26,0,0,13.31,1.03,5.18,6.21,0.89,0.82
 96-106,1.11,0,4.6,0,0,14.92,3.74,0,2.19,30.81,1.16,0,0,0,0,3.2,0.73,0,85.43,1.13,10.62,0,23.3,0.73,3.45,8.55,0,2.63,7.51,0,0,0,0,3.13,0,1.15,2.9,5.04,0
108-118,0.71,0,4.32,1.1,2.79,16.14,1.15,3.52,3.17,13.27,0.48,0.93,0.65,0,4.38,1.29,0,0,97.55,1.15,0,1.05,49.68,0.58,8.49,9.66,0,0.91,5.29,0,0,1.18,0,3.89,2.47,3.18,4.94,0.44,3.09
120,0,0,5.42,1.94,0,31.92,0,2.92,1.92,6.06,6.61,0,2.6,1.06,4.88,2.19,0,0,26.98,0,0,3.71,41.98,10.53,5.76,2.76,0,5.29,9.29,0,0,1.99,0,0,0,0,0,0,0
