stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,iridophores,melanocytes,mesenchyme,mucous,neural,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,28.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.43,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1.77,0,0,0,2.26,0,2.75,0
 36-46,0,0,2.78,0,0,0,0,0,0,0,0,0,0,2.15,3.88,0,0,0,0,0,0
 48-58,0,0,0,0,0.86,3.69,0,0.6,0,0,0,0.38,0,0,2,0,0,0,0,0,0
 60-70,0,0,2.8,0,0,0,0,0,0,0,0,0.9,0,0,5.37,0,0,0,6.79,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,3.21,0,0,0,3.4,1.42,0
 84-94,0,0,7.22,1.33,2.17,0,0,0,0.6,0,0,1.25,4.34,0,1.34,0,0,0,0.56,0,0
 96-106,0,0,0,3.03,0,0,2.64,0,0,0,0.57,0,0,0,0,0,0,0,4.18,0,0
108-118,0,0,0.94,0,0,0,0,0,0,0.73,0,2.24,0,0,4.46,0.57,0,0,5.62,0,6.27
120,0,0,4.8,0,0,0,0,0,0,0,0,19.72,0,0,8.01,0,0,0,0,4.54,0
