stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.35,75.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.73,170.38,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.47,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.76,24.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,15.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.94,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,29.01,0,1.84,0,0.83,0,0,0.9,0.89,5.82,0,0,0,0,0
 24-34,0,0,4.52,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752.26,0.63,41.82,0,0,0,3.41,0,0,62.52,0,0,0,0,0
 36-46,0,0,0,0,0.94,0,18.14,0,0,18.71,0,0,0,0,0,0,0,0,0,0,0,1516.22,0,17.6,0,0,0,0,0,0,96.9,0,0,5.92,0,0
 48-58,0,0,0,0,3.62,0.73,108.94,0,0,84.64,0,0,0,0,4.95,0,0,1.98,2.35,0,0,2908.68,0,20.78,0.5,0,0.47,2.75,0,0,316.82,0,0,0,0,0
 60-70,0,0,10.41,0,7.66,0,204.48,0,0.84,88.24,1.26,0,0,1.92,0,0,0,0,11.68,0,0,3051.56,0,12.41,0,0,0,3.12,0,0,262.81,0,0,0.72,0,0
 72-82,0,0,6.66,0,7.4,1.07,546.85,0,0,102.29,3.31,0,0.66,0,0,2.8,0,11.78,9.08,0.78,0,4394.91,0,26.85,0,0,1.59,0,0,0,300.49,0,0,0,0.96,2
 84-94,0,0,5.77,0,4.31,0,243.48,1.27,0,28.86,6.46,0,0.7,1.88,0,0.67,0,0,8.32,3.42,0,1530.08,0,13.46,5.54,0,0,0,0,0,151.41,0.9,0.71,0,0,0
 96-106,0,0,4.5,0,7.64,5.07,211.16,0,0,35.93,5.63,0,0,0,0,0.61,3.73,2.24,17.94,2.29,1.26,1529.68,0,17.81,0.79,0,0,0,0,0,73.34,0,0,2.1,0,0
108-118,0,0,5.17,0,5.86,0,104.48,0.78,0,30.66,1.6,0,0,0,0,0,0,11.17,13.21,0,0,1325.63,0,12.61,1.67,0,0,0,0,0,28.6,2.64,1.46,3,0,0
120,0,0,0,0,11,0,388.49,0,0,32.99,0,0,0,2.25,0,0,1.07,15.75,14.43,0,1.12,2375.07,0,19.25,0,0,0,7.34,0,0,71.62,0,0,0,0,0
