stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.42,34.12,0,0,0,0,1091.95,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,553.52,15.39,0,0,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,309.98,0,172.98,0,5.97,2958.84,0,0,0,0,0,52.33,0,0,0,0,0,0,0,0,0,0,11.62,11798.01,64.82,0,0,1337.01,0,0,0,21.63,38.81,0,45.26,4.54,0,0,0,0,0
 14-21,0.93,1.4,0,107.55,2956.74,75.55,1889.66,0,0,0,137.81,6.49,6.3,2.89,2.34,17.41,4.93,2.05,1.15,81.08,680.55,11.35,0,1298.76,8270.39,124.13,3.67,82.7,30.25,0,259.55,1.54,600.65,71.49,400.39,4688.73,1970.39,0,0,0,0,39.74
 24-34,0,0,0,67.39,1591.88,3.76,773.83,14.98,22.43,9.27,178.51,9.42,2.94,3.03,6.32,30.96,13.83,12.25,13.72,197.28,1470.58,28.38,0,830.73,3980.07,156.83,6.77,49.21,0,1.61,745.07,0,18.08,92.64,158.85,553.63,1897.07,0,0,50.46,0,36.65
 36-46,0,0,0,10.42,586.54,0.9,455.09,33.8,55.51,25.79,78.53,11.35,0,6.03,0.63,11.91,2.41,3.58,27.21,80.01,1078.85,21.97,16.39,525.84,1851.03,88.87,1.51,19.19,0,0,861.69,0,3.2,34.56,73.14,12.27,1765.32,0,1.04,19.5,0,28.91
 48-58,0.58,0,0,2.35,348.41,0.43,663.25,12.92,67.4,31.71,80.1,14.13,0,2.36,2.63,7.88,3.37,3.17,5.58,72.26,913.11,15.19,13.03,322.75,1025.41,44.22,2.89,10.37,0,0,498.26,0,0,19.93,59.85,0,976.45,0,3.33,16.4,0,40.21
 60-70,0.81,0,6.75,0,207.2,20.04,531.95,7.32,68.17,11.95,69.18,7.83,0.97,0,0,13.01,1.86,0.84,5.23,35.01,483.56,4.49,5,146.67,485.23,9.13,0,12.4,0,4.03,288.61,0,0,17.5,11.68,0,229.63,0,10.79,23.62,2.44,22.25
 72-82,0,0,1.54,0,94.19,1.49,365.11,11.41,15.67,11.04,174.39,19.88,0,0.91,0,5.56,4.65,10.83,8.91,14.73,363.64,4.58,33.83,123.28,335.1,5.29,4.66,11.07,0,7.81,227.38,0,0,7.6,17.73,0,45.89,0,2.37,43.5,7.42,44.11
 84-94,0.62,0,4.58,0,144.77,5.61,347.32,3.36,25.32,16.76,166.19,15.77,0,0,1.52,8.15,3.83,0,5.98,32.02,346.07,3.3,21.06,108.99,304.76,5.55,1.78,7.72,0,0.6,628.24,0,0,14.41,6.34,0,29.02,2.01,2.82,28.35,0.88,28.83
 96-106,0,0,0,0,104.54,11.14,317.54,0.64,14.21,7.85,233.44,13.5,0,3.31,1.82,4.38,2.39,0,8.02,33.17,234.44,7.42,1.03,72.59,178.63,2.04,8.25,10.08,0,2.64,429.06,0,0,15.13,6.61,0,11.69,0,3.81,27.77,1.36,24.5
108-118,0,0,0,0,87.19,4.5,237.98,1.72,25.35,10.6,210.11,12.45,0,0,0,10.76,0.87,1.66,4.27,39.4,214.28,7.6,3.42,46.28,213.43,1.34,4.61,13.88,0,15.1,400.83,0,0,21.21,5.2,0,7.12,2.48,2.13,37.72,2.14,64.01
120,0,0,0,0,93.62,11.44,187.06,2.29,13.35,7.86,328.16,21.4,0,0,2.06,0,0,2.12,20.55,48.44,176.24,1.46,0,55.95,245.3,2.42,7.06,13.38,0,11.47,164.6,0,0,11.95,1.22,0,0,6,3.38,111.04,1.05,22.61
