stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.15,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,0,0,0,0,0,4.76,6.92,0,0,0,0,0,0,0,0
 14-21,0,1.02,1.07,0,2.74,0,0,0,0,0,0,0,1.76,0,0,0,0,40.45,0,0,0,0,0,2.17,0,0,1.13,5.76,0,0,0,0,0
 24-34,0,0,0,0,3.15,0,0,0.84,0,7.3,0,0,0,0,1.4,0,0,31.56,0.74,0,0,0,0,0,0,0,0.63,7.63,0,0,3.65,0,0
 36-46,0,0,0,0,4.45,0,0,1.13,0,1.01,0,0,0,0,0,0.58,0,36.55,0,0.95,1.46,0,0,0,0,0,0,5.04,0,0,1.93,0,0
 48-58,0,0,0,0,10.82,0.83,0,0.4,0,0,0,1.16,0,0.54,1.9,0,0,15.37,0,0,0,0,4.51,0,0,0,0,8.78,0,0,0,0,3.44
 60-70,0,1.05,0,0,89,0,0,6.47,1.58,0.63,0,1.13,0,0,2.8,0,0,37.81,0,5.59,3.88,0,0.63,0,0,0,0,11.62,0,0,0,0,2.76
 72-82,1.4,0,0,0,261.72,0,0,21.23,0.64,0.5,0,3.3,0,1.32,5.4,0.93,0,79.56,0,2.47,8.89,0,0,0,0,0,0,15.54,0.95,0,3.83,0,0.67
 84-94,0.94,2.07,2.28,0,138.57,0,8.54,19.81,4.04,0,1.33,0.59,0,0,6.23,1.21,0,53.42,0,0,6.58,0,2.61,0,0,0.78,0,0,0.57,0,0,0,0
 96-106,6.12,0,0,0,208.65,0,1.54,61.03,6.6,0,0,2.65,0,0.98,3.97,3.23,0,59.46,0,2.33,14.06,0,3.49,0,0,0,0,3.21,1.31,1.08,0,0.59,0
108-118,1.52,3.53,0,2.13,209.99,0,0,36.05,5.05,5.48,0.48,3.41,1.55,0.47,7.6,1.41,4.77,72.89,0,1.5,5.27,0,0,0,0,0,0,5.06,0.48,0,2.11,0,0
120,4.32,0,0,0,138.14,0,0,44.36,5.68,0,9.11,14.5,10.86,0,0,0,0,84.9,0,0,16.69,0,3.34,0,0,0,0,5.23,1.27,0,2.09,0,0
