stage,blastomeres,epidermis,eye,ionocyte,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,75.49,0,0,0,0,0,0,24.68,0,0,0
  5-6,34.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.34,0,0,0,0
 10-12,0,0,0,0,9.26,0,0,0,0,0,0
 14-21,0,0,0,0,0.9,0,0,0,0,0,0
 24-34,0,0,0,0.72,0,0,0,0,0,0.59,2.74
 36-46,0,0,0.7,0,2.79,0,0,0,0,0,0
 48-58,0,0.54,0,0,4.89,0,0,0,0,0,0
 60-70,0,0,0,0,5.97,0,0,0,0,0,0
 72-82,0,0,0,0,2.71,0,0,0,0,1.12,0
 84-94,0,0,0.71,0,4.81,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.15,0,0,0,0,0
108-118,0,0,0,0,0,2.54,0,0,0.51,0,0
