stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0.92,0,0,0,0,0,0,0,1.92,0.9,0,0,0,0,2.2,0,0,0.9,7.32,0,0,0,0,0,0.84,0,0,0,0,0,0,0
 24-34,0,2.04,1.21,0,0,0,0,0,0,5.98,7.56,0.73,0,0,0,10.81,0,2.94,9.39,14.22,0.81,0,0,0,8.59,0,0,1.14,1.82,0,0,2.15,0
 36-46,0,0,0,0.74,0,0,0,0,0,2.77,3.72,2.36,0,0,0,27.57,0,20.41,1.24,39.67,0.82,0,0,0,5.22,0,0,0,1.86,0,0,0,0
 48-58,0,2.55,0,14.42,0,0,7.7,5.58,0,3.86,2.96,10.19,0,0,0,28.15,0,72.03,5.17,31.42,1.29,0,0.41,1.88,0,0,0,0.4,2.11,0,3.83,5.21,3.46
 60-70,0,3.16,0,3.01,0.59,0,8.71,0,0,0,9.69,4.88,0,0,2.25,63.57,0,208.89,15.24,19.91,0,0,0.65,26.14,3.99,0,0,1.01,1.85,0,30.55,5.2,43.59
 72-82,0,0.77,0.65,34.81,0,0,10,1.84,0.6,2.58,12.95,0.63,0.59,0.97,0,102.25,1.79,199.75,16.83,20.69,0,0,3.76,11.66,4.34,0,0,0,2.99,0,38.23,0,246.63
 84-94,0,1.9,0,26.39,0,1.88,4.11,7.97,0,10.21,25.14,2.96,0,0,0,88.94,0,548.87,7.77,12.77,0,0,0,68.86,4.58,0,2.14,0.6,9.66,0,173.39,3.42,369.02
 96-106,0,2.73,3.06,17.91,1.43,1.85,8.98,7,1.16,20.58,51.02,9.86,1.95,2.88,7.43,226.62,0.68,277.38,40.69,62.94,1.65,0,5,290.89,10.56,0,0,0,0,0,115.48,2.59,508.09
108-118,0,2.73,1.37,16.15,0,1.09,0,12.7,0,7.98,24.91,4.3,1.87,0,0.95,218.94,0,335.87,20.96,56.71,0,1.21,4.16,369.8,3.12,0,1.86,0,4.42,0,89.09,3.67,317.26
120,1.66,5.2,17.24,5.24,0,5.55,4.08,11.19,7.06,7.5,87.93,11.75,0,0,0,387.48,0,207.79,29.85,55.83,0,0,2.3,260.26,1.21,0,0,0,16.74,1.99,51.77,1.72,338.62
