stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,206.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.51,143.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,12.13,0,0,0,0,0,0,0,0,0,0,34.92,56.45,0,0,47.1,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,22.74,0,0,4.66,0,0,0,0,0,106.69,0,0,0,0,0,0,0,0,0,0,151.72,252.58,0,0,203.69,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.07,3.08,23.36,3.89,6.54,0,0,0,10.01,1.67,131.28,0,0,0,0,0,0,7.54,0,0,7.17,107.75,1978.15,0,4.63,5.2,0,0,20.88,0.89,1.2,2.15,40.32,0,0,0,0,0
 24-34,0,0,5.83,0,6.76,0.76,8.18,0,0.71,2.47,1.4,0,6.53,0,0,1.08,0.8,0,0,39.18,4.04,0,10.01,79.94,324.8,2.87,24.2,0,0,2.96,0,1.04,1.77,3.48,42.23,0,0,7.02,0,1.93
 36-46,0,0,0.95,0,2.68,0,28.29,0,9.28,11.27,21.93,0,0,0.65,1.03,0,0.56,0,0,58.15,2.33,0,11.2,97.12,218.06,0.87,33.86,0,0,2.48,0,0.58,0,0,37.88,0,0,6.52,0,0
 48-58,1.92,0,2.67,0,0.79,0,38.99,0,0,22.95,35.08,0.54,0.41,2.51,0,0,0.59,0,0.78,100.88,7.92,0,16.1,38.75,85.84,2.52,31.07,0,0,4.73,0,0,0,0,29.39,0,0.84,13.6,0,8.94
 60-70,0,0,0.57,0,6.52,0,66.3,0,0,27.13,163.87,0.62,7.61,4.05,2.08,0.82,0,0,0,151.78,0,0,25.61,115.3,49.88,0.84,21.43,0,0,0,0,0,0,0,42.92,0,0,17.33,0.64,0
 72-82,0,0,2.03,0,3.52,0.53,73.45,0,0.61,44.7,305.83,1.39,0,12.92,0,0,0.81,0,0,189.13,11.86,7.82,20,377.19,22.16,0,28.42,0,0,0.81,0,0,0,0,21.65,3.69,1.03,18.69,0,0
 84-94,0,0,7.61,0,2.8,0.92,62.44,0,0,31.13,204.39,2.8,1.31,0.8,0,0,1.32,0,0,176,5.09,3.89,9.37,330.99,13.26,2.63,50.59,0,0.79,1.51,0,0,0,0,6.38,3.92,4.92,34.79,1.35,2.54
 96-106,0,0,6.41,0,6.94,0,69.78,0,0.65,15.22,283.85,1.96,0,5.44,1.35,0,0,1.39,0,124.83,6.53,1.16,4.13,492.96,16.85,0,31.42,0,1.28,2.22,0,0,0.81,0,15.46,23.48,1.88,27.65,0.87,0
108-118,0,0,7.11,0,2.98,11.75,42.59,1.37,0,40.36,257.28,4.37,0,4.89,1,0,0.55,0,0,111.49,6.37,0,5.6,441.21,18.75,3.94,34.52,0,0,1.44,0,0,0.67,0,3.69,18.59,3.29,18.59,0,0
120,0,0,8.28,0,5.24,0,67.72,0,0,10.85,234.6,0,0,4.12,4.61,0,0,5.66,0,116.02,5.89,2.47,0,593.85,10.22,12.85,9.24,0,0,1.13,0,12.14,0,0,37.35,13.59,1.95,9.36,3.36,0
