stage,eye,glial,immune,iridophores,neural,olfactory,otic,paraxial.mesoderm,spinal.cord
  7-9,0,0,0,0,10.96,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.74,0
 24-34,0,0,0,0,4.12,0,0,0,0.6
 36-46,0,0,0,0,6.01,0,0,0,0.9
 48-58,0.63,0.46,0,0,8.61,0,0,0,1.13
 60-70,0,0,0,0,12.58,0,0,0,0
 72-82,5.91,0,2.57,2.8,37.13,0,0,0,3.9
 84-94,8.33,0,0,0,19.49,0,0,0,0.71
 96-106,1.91,0,0,0,13.77,1.13,11.02,0,0
108-118,2.14,0,0,0,2.29,0,0,0,0
120,0,0,0,0,3.31,0,0,0,0
