stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.15,450.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.84,1605.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,0,105.73,0,0,0,0,0,0,0,0,0,0
  7-9,28.97,25.31,0,18.94,0,0,0,33.76,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,740.5,33.02,0,0,187.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.03,0,53.78,0,41,0,6.25,0,0,0,0,0,14.85,0,0,0,0,0,7.47,0,0,0,0,660.17,4.1,0,0,196.21,0,0,0,69.79,0,0,0,0,0,0,0,0
 14-21,0,0,0,20.48,127.06,33.58,0,60.67,0,1.18,0,21,8.61,0,6.72,0,0.86,0,0,0,57.68,0,0,48.84,723.96,7.68,0.99,50.32,9.46,0,0.97,42.75,19.67,1.98,69.06,233.69,0,0,2.51,0,0
 24-34,0,0,0,9.5,42.1,0,0,249.85,0.75,0,0.63,35.81,2.27,0,3.07,0,0.61,1.64,4,0,113.14,0,4.25,40.03,2010.99,3.68,5.33,23.92,0,0,3.7,0,3.34,0.64,12.72,343.8,0,0,8.3,0,3.74
 36-46,0,0,0,3.62,33.52,0,0,229.17,2.46,1.04,1.65,55.78,1.19,0,0.56,0,0,12.74,0.68,1.07,70.27,0,0.8,13.03,950.4,0,0,15.68,0,0,2.91,0,0.7,0,0,156.39,0,0,10.16,0,0
 48-58,0,0,0.39,0.57,12.37,0,0,339.47,4.1,0.66,9.33,113.48,15,0,3.83,0.42,0,0,2.16,8.4,131.25,0,3.85,28.8,859.49,4.52,2.84,38.33,0,0,15.88,0,1.02,0,0,152.2,0,0,14.35,0,0.5
 60-70,0,0,0,0,26.1,0,0,142.92,0.67,1.33,3.06,44.79,43.83,0,0,10.31,0,0.85,0,4.52,106.69,0,3.09,9.27,264.3,5.78,0,39.61,0,2.44,7.46,0,5.69,0,0,19.49,0,0,10.99,0,0
 72-82,0,0,0,0,3.86,0,0,63.1,0,5.6,0,24.9,24.57,0,0,5.4,0,0,0,1.08,82.92,0,13.36,7.27,131.58,0.53,0.75,30.88,0,0,4.24,0,2.49,0,0,5.59,0,7.19,3.63,3.6,2.74
 84-94,0,0,0,0,8.18,0,2.93,50.57,1.17,0.56,0,28.29,62.01,0,2.49,2,3.37,0,0,2.36,92.68,0,22.02,6.8,77.76,0.57,0,36.69,0,0,6,0,2.02,0,0,2.06,1.37,2.79,2.39,2.19,0
 96-106,0,0,0,1.21,13.25,1.43,0.68,23.15,0.69,1.32,0,33.79,46.22,0,4.55,7.08,1.12,0.66,0,0,40.35,2.09,0,2.42,80,0,0.83,56.44,0,0,7.23,0,0,0,0,2.57,0.8,1.15,1.49,2.47,0
108-118,0,0,0,1.06,11.83,0.8,3.54,25.95,0,0.6,1.54,17.87,40.79,0,0,0,4.02,0,2.27,1.74,35.79,0.77,2.86,8.07,59.84,0,0,27.74,0,2.67,5.82,0,2.37,0,0,0,1.2,0,2.56,0,0
120,0,0,0,1.28,15.59,5.27,0,51.5,0,2.1,1.04,10.78,33.79,0,1.61,1.88,6.9,0,0,7.33,62.39,0,0,6.32,128.62,0,0,52.22,0,0,4.49,0,2.44,0,0,0,1.84,16.21,0,0,0
