stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.94,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.32,244.86,0,0,18.44,0,0,0,0,0,5.73,0,0,0,0,0,0
 14-21,0,0,1.1,0.81,4.13,0,0.89,0,0,0,0,0,2.4,0,0,0,0,0,0,2.32,0,0,2.57,17.14,1497.08,0,0,0,0,0,13.27,0,26.22,42.94,125.64,0,0,0,0,0
 24-34,0,0,0,2.64,0,0,3.51,0,0,0,0.81,0.66,0,0,0,0,0,0,0,29.94,0,0,14.54,72.94,1399.48,0,0,0,0,0.84,0,0,1.86,1.37,107.12,0,0,5.48,0,0
 36-46,8.46,0,0,0,0,0,7.5,0,0,0,4.49,0.66,0,0,0,0,5.6,0,0,108.07,0,0,36.93,47.12,1293.77,5.22,2.66,0,0,2.56,0,0,0.66,0,52.89,0,0,0,0,0
 48-58,0,0.44,0,3.38,0.48,0,51.6,0,0,4.34,10.23,0,0,0,0,0,5.57,2.42,0.54,376.07,0,1.34,53.44,105.48,922.03,5.89,14.82,0,0,0,0,0,0.72,0,23.89,0,0,17.61,0,0
 60-70,1.44,0,0,2.47,5.21,0,90.74,0,0,1,71.41,1.43,0,6.31,0,0,7.91,2.74,0,888.05,0,5.11,32.48,95.5,612.27,2.44,20.74,0,2.07,0,0,4.77,0,0,6.86,0,7.78,116.49,5.32,0
 72-82,0,0,0,4.92,0,1.16,163.28,0.65,0.61,9.63,100.7,0,0,5.71,2.03,0,14.44,0,9.86,2066.97,0,7.7,44.51,171.62,284.09,2.13,29.19,0,0.71,2.41,0,0,0,0,13.17,1.44,12.02,409.85,11.88,4.66
 84-94,1.23,0,0,8.55,7.01,0,252.92,0,0,7.32,98.43,0.59,0,15.79,1.21,0.71,20.72,0,8.18,1621.57,0,18.84,9.26,78.68,423.09,7.24,26.17,0,0,0.72,0,4.04,0,0,9.83,0,21.15,353.05,4.59,0
 96-106,6.05,1.37,0,21.45,12.63,0.56,188.39,4.64,1.77,15.5,96.47,2.82,0,16.01,5.88,0,21.49,0,18.05,1699.44,0,9.8,22.15,214.91,188.57,13.72,36.12,0,3.59,9.52,0,6.44,0,0,16.22,0,47.32,563.97,21.77,2.14
108-118,0.67,1.73,0,11.47,0,2.65,245.33,0,1.14,5.23,132.19,2.7,0,6.12,6.71,1.34,18.56,0,10.34,2195.63,0,25.75,13.85,141.97,192.11,5.69,47.91,0,3.32,1.62,0,5.69,0,0,11.95,0,36.84,740.68,20.68,3.32
120,0,0,0,8.58,0,0,156.3,0,2.08,0,177.93,20.12,5.2,7.14,0,0,6.69,0,1.67,2187.7,1.56,29.68,14.09,220.93,198.34,0,32.5,0,0,0,0,4.22,0,0,7.07,0,71.13,514.21,41.38,0
