stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,24.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,21.84,1.35,0,8.95,0,0,0,0,1.05,15.64,0,0,0,0,0,0,0,3.71,0,0,4.82,55.9,0,0,0,0,0,5.47,2.53,37.58,31.54,25.32,0,0,0.93,0,0
 24-34,0,0,0,2.08,6.9,0,0,10.51,0,4.96,0,0.62,1.34,0,0.95,1.47,4.02,0,0,2.72,0,13.53,0,0,2,142.57,1.45,3.61,0,0,5.07,0,1.33,0.63,4.67,34,0,0,6.73,0,0
 36-46,0,0,0,0,14.02,0,0,9.48,0,8.05,0.6,0.65,0,13.46,1.06,0,5.94,0,0.61,0.83,0,11.43,3.01,0,5.89,129.18,0.66,3.04,0.57,0,4.96,0,0,2.35,0,12.6,0,0,0.88,0,4.56
 48-58,0,0,0,0,6.06,0,0,12.57,1.3,5.82,0,3.01,0,25.65,0.69,0,0,0,0,0,0,9.04,1.93,0,5.71,87.06,0.39,0,0,0.61,0,0,0,1.01,0,14.28,0,0,0,0,0
 60-70,0,0,0.86,0,15.33,1.42,0,26.72,1.8,6.55,1.49,6.5,0,19.29,2.4,2.56,0,1.14,0,0,0,14.86,0,0,15.24,116.29,8.84,2.51,0,0,12.86,0,2.58,4.7,0,49,0,0,0,1.54,0
 72-82,0,0,0,0,9.76,7.66,0,72.17,0,5.35,5.41,19.05,0.6,15.73,6.8,0.55,2.34,0,4.59,0,0,78.34,1.57,1.04,11.02,118.14,0,2.74,10.28,0,10.39,0,0.64,0,0,36.99,0,2.01,2.93,0,0
 84-94,0,0,0,0,14.05,5.88,0,71.21,0,3.29,9.38,5.01,0,11.87,3.55,0,1.92,0,0,0,1.82,48.98,0,1.92,3.61,93.14,0,2.5,6.37,0,22.85,0,1.07,0.62,0,30.19,0,0,0.64,0,2.25
 96-106,0,0,0,0,17.92,5.05,0,54.81,1.84,5.11,1.43,20.7,3.52,2.12,0,2.54,4.05,0,3,12.93,0,103.2,8.16,3.06,3.89,88.61,2.28,0.73,7.17,3.21,9.45,0,0,0,0,8.82,1.89,1.15,0.57,0,0.75
108-118,0,0,0,0,49.36,4.15,0.44,83.18,0,12.01,8.71,19.95,1.35,0,2.41,0.75,5.22,1.71,1.37,0,0,104.45,0,3.69,25.81,205.68,0,3.19,8.59,1.63,25.67,0,0,0.69,0,26.77,1.22,2.39,4.1,0,6.1
120,2.82,0,0,0,327.95,18.09,0,95.42,2.24,46.78,18.71,63.09,15.58,0,16.49,7.25,16.08,0,2.88,1.28,0,486.85,4.3,23.12,55.63,445.74,4.46,7.63,15.06,0,85.51,0,0,0,0,12.83,3.31,0,10.86,0,0
