stage,blastomeres,endoderm,eye,glial,mesenchyme,neural,paraxial_mesoderm
  5-6,80.75,0,0,0,0,13.86,0
  7-9,0,0,0,0,0,44,13.74
 10-12,6.68,9.96,0,0,0,37.89,0
 24-34,0,0,0,0,0.79,0,0
 48-58,0,0,0.75,0,0.51,0,0
 60-70,0,0,0,1.8,0,2.86,0
