stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.19,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,11.4,0,6.99,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.65,4.75,0,0,30.59,0,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8.4,1.8,0,9.15,0,0,0,5.62,1.44,2.98,0,0,0,0,0,0,0,3.16,0,0,1.24,95.41,14.42,1.55,0,1.32,0,7.52,0,7.64,0,5.09,40.55,0,0,3.01,0,0
 24-34,0,2.55,0.84,5.97,3.38,0,25.2,0,0.81,0,3.42,0,0,2.16,0,0.61,0,0,0,0,23.79,0.93,0,8.07,558.11,0,34.89,1.16,0,0,3.73,0,0,0,0.61,124.92,0,0,15.95,0,2.2
 36-46,0,0,0,3.35,1.93,0,42.36,0,0,0,15.24,0,0,0.88,0,0,0,0,0,0.7,35.64,0,0.63,5.61,1085.81,1.84,25.63,0,0,0,10.25,0,0,0,0,209.86,0,0,4.25,0,0
 48-58,0,0,0,5.99,2.57,0,202.45,0.82,0.47,0.53,43.12,0.92,0.37,3.93,0,5.67,0.51,0.4,1.66,0.6,32.56,0,0,9.32,1569,0,27.74,0.78,0,0,6.96,0,0,0.38,0,302.37,0,0,13.42,0,4.45
 60-70,0,1.56,0,14.95,1.92,0,500.85,0,1.49,1.72,37.89,0.99,0,0,0,0,0.72,3.36,8.62,10.04,45.8,0,4.58,4.94,2040.96,2.39,19.81,1.03,0,0,19.81,0,0,0,0,302.16,1.44,1.63,18.01,0.73,2.21
 72-82,0,2.43,0,15.13,30.49,0,673.62,3.29,3.12,1.26,47.05,0.94,1.34,0,1.18,0.57,0,0.92,8.38,0,63.85,0,0,8.01,1873.79,0,43.07,11.28,1.13,0,10.25,0,0,3.55,0,226.07,0.94,3.04,9.13,1.68,0
 84-94,0,3.04,0,14.96,16.33,0,532.57,0,0,0.67,36.16,2.36,1.95,0,1.22,5.17,0,3.59,0.83,10.77,50.37,4.01,0.57,3.84,1343.96,0,60.06,7.62,0,0.91,2.84,0,0,1.79,0,180.31,4.05,0.63,4.45,1.36,5.45
 96-106,0,7.79,0,3.26,37.62,0,557.66,1.64,1,2.5,66.38,3.6,0,0,5.23,0,2.17,1.22,0.76,7.32,59.14,0,0.59,3.83,1159.6,0,51.19,3.7,0,3.66,28.93,0,0,0,0,106.49,0.72,1.18,5.75,3.39,0
108-118,0,2.9,0,22.12,17.77,3.08,576.36,0,0,2.77,74.11,4.08,0,0,1.48,0.89,2.09,2.65,0,5.07,53.71,0,4.74,5.07,1458.04,0.68,44.62,5.32,0,0,7.24,0,0,3.07,0,68.01,2.4,2.13,8.69,0,5.45
120,0,24.57,0,25.76,19.8,0,515.79,0,2.25,1.98,165.67,0,0,0,5.72,2.88,0,8.24,7.18,0,101.13,0,0,7.72,2665.65,3.53,88.23,17.35,0,12.2,4.35,0,0,1.94,0,130.02,1.37,0,11.53,7.37,0
