stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,177.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,145.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.04,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.11,0,3.55,0,0,0,24.07,0,0,0,0,0,22.3,0,0,0,0,0,0,0,0,0,84.16,0,0,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,15.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.69,0,0,0,49.56,0,0,15.1,7.06,0,10.78,0,0,0,0,0,0
 14-21,0,0,1.11,1.98,13.36,10.24,0,5.03,0,0,0,0,0,0,4.69,0,0,0,0,0,24.9,0,61.3,68.29,6.95,0,0,1.7,0,0,30.98,18.57,147.29,670.93,33.64,0,0,7.3,0,0
 24-34,0,0,0,2.68,6.92,1.63,0,13.94,0,0.71,0,2.26,1.19,0,3.87,0,0.66,0,1.29,0,74.12,0,45.66,253.19,4.49,0,3.31,0,0,0.68,1.19,10.37,14.99,125.63,95.17,0,0,89.56,0,0
 36-46,0,0,0,0,22.42,0,0,20.32,0,0,1.35,3.49,0.61,0,3.29,0,6.85,0,1.29,0,72.38,2.24,21.96,415.83,2.05,0.83,10.31,0,1.01,21.01,0,2.46,0.67,0,99.5,0,0,47.87,0,0
 48-58,0,0,0,0,9.78,0,0,57.19,1.22,7.64,1.81,38.7,1.78,0,2.1,0,0.49,0.77,7.42,0,122,3.91,30.11,594.65,0.51,0,0.55,0,0,9.96,0,2.71,10.03,0,67.78,0,0,35.36,0,0.97
 60-70,0,0,0,0,14.05,0.6,0,78.85,0,3.95,0.65,73.95,4.5,0,0,0,0,6.38,6.19,0,166.55,4.25,6.86,747.81,0,0,0.96,0,1.71,18.99,0,3.32,1.34,0,69.57,0,1.92,25.11,2.63,0
 72-82,0,0,1.51,0,1.12,0,0,230.41,2.62,2.01,4.07,104.47,1.53,0,5.22,0,0.64,7.18,22.48,0,258.61,11.11,22.96,619.51,1.23,0,5.77,0,1.77,4.97,0,8.34,0,0,31.96,0,8.73,66.34,5.46,11.33
 84-94,0,0,0,0,5.82,0,0.56,227.74,1.4,1.81,2.56,61.11,0,0,4.16,0.64,1.65,12.97,15.37,7.24,215.02,6.45,30.22,432.02,1.25,0,1.83,0,1.75,33.84,0,0.75,0,0,28.09,0,1.03,77.43,11.43,0
 96-106,0,0,0,0,17.84,7.83,0,410.4,1.61,2.81,5.82,83.3,3.76,0,3.8,0,1.36,15.83,5.94,0,233.08,14.04,15.84,409.16,0,2.88,7.69,0,0,16.39,0,6.61,1.82,0,15.16,0.72,7.99,73.46,8.45,12.26
108-118,0,0,1.75,0,19.83,0,4.96,519.79,1.84,5.8,2.15,51.19,5.92,0,2.16,0,6.19,35.65,9.27,0,256.92,10.83,11.72,610.65,0,4.37,13.07,0,0,18.69,0,9.11,2.02,0,5.8,0,7.31,71.52,11.15,3.75
120,0,0,2.94,0,22.31,0,1.71,385.74,1.18,0,0,135.93,0,0,3.46,0,4.24,26.73,5.54,7.07,226.07,11.12,13.69,848.83,0,1.15,16.67,0,3.42,6.35,0,6.29,0,0,17.06,0,11.68,45.62,1.96,3.6
