stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,159.18,2784.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.91,0,0,0,0,0,0,0,0,0,0,0
  5-6,109.09,1927.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,8.57,0,6.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.94,18.6,0,0,0,0,8.42,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,89.05,3.34,0,0,13.34,0,38.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.17,0,0,0,14.33,0,19.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.07,4.77,0,1.84,0,0,0,1.99,0,0,5.29,0,0,0,0,0,0,2.17,0,0,7.27,34.2,0.88,0,0,0,0,8.17,1.54,1.94,1.75,6.3,6.03,11.28,0,0,1.97,0,0
 24-34,0,0,0,2.68,1.7,0,13.68,0,0,0.8,1.49,0,0,2.11,1.47,1.74,0,0,0,0,11.42,0,0,4.64,132.01,1.09,0,0.81,0,0,4.75,0,0,3.18,0.66,0.74,44.88,0,0,20.44,0,0
 36-46,0,0,0,4.85,1.29,0,21.26,4.15,0.62,1.41,10.89,0,0.76,3,4.35,1.54,0,0,0,1.75,20.11,0,0,9.3,91.6,4.88,0.93,0.58,0,0,25.98,0.81,0,1.99,0.58,0,33,0,0,19.96,0,0
 48-58,0,0,0,13.24,1.13,0,14.72,1.51,1.95,2.69,12.89,1.15,0,4.12,10.8,0,0,0,1.44,0,34.49,0,1.18,4.6,53.67,0.39,0.58,3.96,0,0,12.36,0,0,0.96,1.91,0,10.04,0,0,20.19,0,0
 60-70,0,0,0,5.3,0,0,29.28,0,0,0.83,25.25,0,0,2.92,8.58,0,0,2.4,0,0,52.55,0,3.48,7.8,36.36,0,1.09,1.48,0,1.21,11.49,0,0,4.15,7.48,0,10.38,0,2.55,25.94,0.73,0
 72-82,0,0,0,9.04,10.52,0,21.76,0,1.42,5.2,44.36,0.64,1.02,6.43,16.42,2.93,0.72,0,0,0,93.12,0.58,4.87,5.5,34.04,0,0,6.26,0,1.54,3.41,0,0,0,0,0,9.08,0,1.72,62.18,1.84,8.31
 84-94,0,0,0,6.41,14.39,0,20.07,0,2.65,0,38.42,0,0.86,6.96,24.11,0,0.88,2.66,1.81,3,78.22,0.71,2.5,5.76,21.2,0,1.79,1.49,0,0,36.04,0,0,1.77,0.73,0,12.6,3.4,0,39.54,5.53,0
 96-106,0,0,0.99,18.88,11.43,0.98,17.43,11.69,4.4,2.07,33.66,3.42,0,7.85,31.02,0,0,0.71,0,0,87.26,4.22,3.82,8.15,18.05,4.04,0,13.04,0,2.14,16.73,0,0,1.34,2.04,0,0,0.71,5.65,86.7,2.29,0
108-118,0,0,0,12.9,9.63,1.17,22.8,2.51,4.74,2.25,41.6,1.23,0,4.2,39.16,0,0.63,0.69,0.49,0,85.47,6.25,0,2.92,49.59,6.39,0,3.59,0,1.8,10.74,0,0,0.48,2.37,0,0,1.33,2.2,46.54,1.06,0
120,0,0,0,19.83,13.96,0,17.35,8.95,9.72,0,30.23,2.81,0,1.17,44.31,0,0,2.13,0,0,48.57,0,10.79,3.92,22.87,10.25,6.09,4.27,0,0,23.78,0,0,1.14,0,0,0,0,0,45.45,0,0
