stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
 14-21,0,0.92,0,0,0,0,0.95,0,0,2.55,0,0,0,0,0,0,0
 24-34,0,0.65,0,0,0,0,7.46,0,0,8.08,0,0,0,5.23,0,0,3.29
 36-46,0,0,0,0,0,0,3.26,0,12.29,21.92,1.02,0,0,0.68,0,0,0
 48-58,0,0,0,0,0,0,1.35,0,0,11.2,0,0,0,1.13,0,0,0
 60-70,0,6.29,0,0,1.61,0.63,7.04,0,0.71,34.26,0,0,0,10.3,0,0,0
 72-82,0,5.17,0,0,2.91,0,9.57,0,0,25.08,0,0,0,3.55,0.78,2.15,0
 84-94,0,3.18,0,0,0,0,13.93,3.74,0,13.2,0,0,0,0,0,1,0
 96-106,0,7.13,4.47,3.66,0,0.63,5.18,0,0,17.91,0,0,0.61,0,0,0,0
108-118,1.28,8.86,0,0,1.57,0.62,14.93,0,0,30.95,0,0,0,4.38,0,0,0
120,0,0,0,0,0,0,5.09,2.13,4.81,26.95,0,2.67,0,0,0,0,0
