stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,92.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.68,0,0,0,0,0,0,0,0,24.17,0,0,0,0,0
  7-9,8.58,0,3.63,0,0,0,0,0,0,37.15,0,15.61,0,0,0
 10-12,0,0,4.48,0,0,0,0,0,0,47.48,0,13.2,0,0,0
 14-21,0,0,0,0,0,0,0.89,0,0,21.09,1.06,0.8,1,8.49,0
 24-34,0,0,0.62,0,0,0,1.07,0,0.76,20.51,0,0,0,5.98,0
 36-46,0,0,2.02,0,0,0,0.81,0.92,0,13.12,0,0,0,5.95,0
 48-58,0,0,9.15,0.51,0.41,2,2.69,0.63,0,10.74,0,0,0,2.47,0
 60-70,0,0,1.66,0,0,1.24,0.67,0,0,5.77,0,0,0,5.85,0
 72-82,0,0.49,0.93,0,0,1.52,2.39,0.72,0,3.5,0,0,0,0,0
 84-94,0,0,0,0,0,0.74,0,0,0.56,11.08,0,0,0,0,0
 96-106,0,0,7.57,0,0,5.04,0,0,0.85,10.22,0,0,0,0,0
108-118,0,0,5.1,0,0,0,0,0,0,2.7,0,0,0,0,0
120,0,1.21,2.37,0,0,3.07,2.63,0,0,16.53,0,0,0,0,1.41
