stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,69.31,894.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.14,0,0,0,0,0,0,0,0,0,0
  5-6,29.28,278.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,11.47,11.79,0,0,33.1,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,348.22,0,0,0,128.17,0,0,10.4,0,0,0,0,0,0,0,0,0
 10-12,0,16.13,10.63,0,5.97,67.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.79,3.62,0,0,136.05,0,0,14.8,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,22.4,7.65,17.42,0,0,8.56,3.91,0,1.07,0,0,0,0,0,0,22.83,0,11.43,357.46,2.86,1.13,0.88,0.87,0,6.35,0,23.5,0.82,12.03,75.11,0,0,15.52,0,0
 24-34,0,0.83,1.48,11.43,1.02,64.12,0,0,9.75,0,0.74,3.01,0.65,0,0,0,0,5.05,65.16,1.21,15.77,514.43,2.19,0.77,1.4,0,0,2.65,1.06,1.03,0,1.33,104.99,0,0,272.59,0,1.68
 36-46,0,0,0,19.81,0,76.37,5.32,0.72,16.08,0,0,4.92,0,0,0,0,0,0,50.89,0.63,9.97,294.4,0.63,0,0.59,0,0,0,0,0,0,0,58.47,0,0,351.24,0,0
 48-58,0,0,0,6.3,0,76.28,0,1.69,11.61,0.51,0,22.5,0,0,1.9,0.42,4.42,0,51.91,3.08,8.57,118.07,0,0,0.42,0,0,0,0,0,0,0,23.68,0,0,417.17,0,4.7
 60-70,0,0,0,8.84,5.79,77.22,0,0.62,21.3,1.05,0,8.91,0,0,0.67,1.16,0.74,0,72.12,3.42,2.99,100.26,0,0,0,0,0,2.71,0,0,0,0,8.42,0,0,493.16,0,0
 72-82,0,0,0,0,0,23.16,0,0,11.23,1.63,0,14.72,2.41,0,0.64,0,0,0,83.99,17.85,12.94,54.81,0,1.77,0.76,0,1.77,1.35,0,0,0,0,3.1,0,0,878.28,2.19,0
 84-94,0,0,0,4.42,0,48.22,0,2.26,19.6,0,0,19.93,0.72,0,0,0,1.28,0,63.36,4.76,6.55,31.52,0,0,0.6,0,0.91,0,0,0,0,0,1.08,0,0.63,797.87,0,0
 96-106,0,0,0,2.88,13.93,32.93,0,0.69,8.75,0.63,0,28.22,0.83,0,0,1.1,1.26,0,42.47,1.82,7.28,43.21,0,0,1.45,0,0,0.92,0,0,2.42,0,0,0,0,1014.35,0.65,0
108-118,0.67,0,0,6.02,0,22.19,2.24,0.86,12.95,0,0,10.21,1.7,0,0,0,5.32,0,55.17,5.23,7.58,50.42,1.51,0.53,0,0,0,0,0,0,4.85,0,0,1.66,0.57,873.81,0,0
120,0,0,0,13.93,0,16.03,1.06,2.41,13.15,0,0,23.42,0,3.71,0,1.84,0,0,34.98,0,0,79.13,0,0,2.74,0,4.48,1.62,0,0,0,0,0,0,0,1004.63,0,0
