stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,72.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,36.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0.93,1.89,2.72,0,0,0,0,0,0,0,0,0,0,0,8.79,0,0,0,0.98,0,4.31,2.02,0
 24-34,0,0,2.25,3.53,0,1.87,0,1.07,0,0,0,0,0,1.07,0.79,0,1.54,39.76,8.3,0.81,0,0,1.38,3.24,24.72,0
 36-46,0,0,0,0,0,8.51,0,0,0,0,0,0.72,0,0.82,0.77,0,0,78.79,8.62,0,0,0,0,12.21,19.31,0
 48-58,0,0,0,0,0,4.65,0,1.33,0,0,0.76,0,0,1.5,0.59,0,0,59.67,3.74,0,0,0,0,5.88,3.84,0
 60-70,0,0,0,0,0,61.4,0.98,6.95,0,1.08,0,0,0,0.73,0,0,0,180.43,0.7,0,0,0,0,6.42,5.84,0.69
 72-82,0,0,0,0,0,112.01,0.84,10.24,0,0,6.96,0,0,6.11,0,0,0,277.35,2.7,0,0,0,0,1.36,12.85,0
 84-94,0,0,0,1.93,0,49.85,0.77,12.47,0,0,6.29,0,6.79,3.02,0,0,0,226.58,0,0.71,0,0,0,1.33,4.97,0
 96-106,0,0,0,4.47,0,98.59,0.64,15.76,0,0,7.52,0,0,4.83,0,0,0,152.85,6.63,0,10.22,0,0,9.89,12.21,0
108-118,0,0,0.57,7.33,1.13,87.16,0,15.16,0,0,14.57,0,0,12.51,0,0,0,236.32,0.45,0,0.43,0,0,6.18,19.59,0
120,0,0,0,0,0,40.44,0,0,0,0,26.55,0,0,17.66,0,9.27,0,343.94,17.07,0,0,0,0,23.98,11.14,9.75
