stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.92,682.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.22,294.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.92,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.8,0,11.38,0,0,0,12.54,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,276.67,6.18,0,0,39.45,0,5.07,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.09,20.64,2.16,0,8.59,0,0,2.45,2.91,0,4.35,0,0.81,0,0,0,0,25.48,0,16.55,129.94,1.03,5.23,6.13,2.76,0,3.58,0.9,1.06,0,0,6.08,29.04,0,0,6.23,0,0
 24-34,0,0,0,1.38,12.76,1.75,0,17.79,0.9,0.83,1.74,0.68,0,6.61,0,0,0,1.07,5.02,1.09,84.32,0.89,32.16,192.63,0.59,0,10.79,0,0,1.38,0,0,1.94,0,0.93,51.28,0,0,75.25,0,0.72
 36-46,0,0,0,0,3.15,0,0,5.7,0,1.83,29.63,2.36,0,5.4,0,0,0,0,0,0,128.72,5.11,33.58,154.83,0.64,0.72,11.14,0,7.92,3.19,0,0,1.27,0.79,0,25.16,0,1.37,35.11,0,13.74
 48-58,0,0,0,0,4.14,0,0,13.51,0.42,3.9,43.67,0,0,4.82,0,0,0,0.45,0,0,119.07,6.12,22.22,76.79,4.33,1.39,3.01,0,1.54,0,0,0,0,0,0,24.84,0,3.1,14.68,0,7.82
 60-70,0,0,0,0,1.56,0,0,4.46,1.41,2.65,81.59,0,0,7.41,0,0,0,0,0,0,265.29,7.48,13.08,67.56,0,0,5.08,0,2.91,0,0,0,0,0,0,20.11,0,4.93,14.42,5.15,19.49
 72-82,0,0,0,0,11.79,0,0,26.94,0.64,7.73,89.67,0,0,3.34,0,0,0.57,0.66,0,0,210.4,5.82,17.49,33.61,0.91,4.56,5.05,0,8.63,0.72,0,0,0.5,0,0,6.08,0,5.33,42.88,5.5,13.86
 84-94,0,0,0.6,0,6.4,0,0,17.68,1.25,3.89,62.49,5.01,0,1.57,0.58,2.54,0,1.88,1.49,2.28,193.35,11.39,12.47,38.9,5.58,0,6.51,0,7.18,3.58,0,0,1.21,0,0,2.69,0.71,5.45,23.51,11.56,14.69
 96-106,0,0,0,0,4.79,0,1.06,10.19,1.15,7.76,69.45,3.28,0,1.98,1.21,0,1.48,0.84,2.41,0,188.65,5.22,4.29,28.78,0.75,0.68,1.27,0,12.22,5.28,0,0,0.62,0,0,0,0,5.14,44.88,1.98,12.92
108-118,0,0,1.13,0,6.65,1.26,0.82,18.33,0,2.44,82.99,4.61,0,0.93,0,0,5.3,0,1.15,0,184.29,4.37,13.13,35.74,2.11,1.19,9.21,0,17.93,8.68,0,0,5.86,0,0,1.43,0.84,7.72,27.68,6.88,20.5
120,0,0,0,0,9.73,8.51,0,15.7,2.48,5.76,99.54,0,0,8.85,9.24,0,0,0,0,0,164.53,10.89,1.26,31.37,0,1.57,4.87,19.84,2.67,4.25,0,0,1.12,0,0,1.81,0,2.09,54.59,9.39,1.64
