stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,45.05,613.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.57,459.77,0,10.71,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,76.29,0,0,0,27.16,0,8.81,0,0,0,0,0
  7-9,4.22,13.97,0,27.69,0,0,48.71,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0,190.78,23.1,0,0,90.56,0,0,0,0,0,0,0
 10-12,0,25.95,0,40.06,0,7.16,31.05,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,289.52,3.15,0,0,65.09,0,0,0,7.71,0,0,0
 14-21,0,0,0,0,0.87,0,0.82,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,7.91,1,0,0,0.82,0,0,0.87,1.6,5.78,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,2.65,0,1.34,16.35,1.75,0,0,0,0,1.09,0,0,4.95,0,0
 36-46,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,18.54,0,1.65,0,0,0,0,0,0,3.43,0.92,0
 48-58,0,0,0,0,0.4,0,8.76,0,0,0,3.31,0,0,0.69,0,0,0.38,0,0,4.18,0.79,0,23.42,0,0.43,0.67,0,0,0,0,0,6.32,2.18,0
 60-70,0,0,0,0,1.55,0,7.82,1.17,1.57,0,1.74,0,0,0,0,0,0,0,0,5.49,0,0.69,19.59,0,0,6.92,0,0,0,0,0,1.58,0,0
 72-82,0,0,0,0,0,0,6.5,0,0,0,1.7,0,0,1.32,0,0,0,0.87,0,16.62,0,0,13.09,0,0,6.01,0,0,0,0,0,3.88,0,0
 84-94,0,0,1.01,0,2.67,0,0.58,0,0,0,0,0,1.8,0,0,0,0,2.29,8.68,3.79,1.4,0,12.76,0,0,12.21,0,1.01,0,0,0,0,0,0
 96-106,0,0,0,0,2.01,0,7.25,0,0,1.06,6.07,2.9,0,0,0,0,0,0.77,0,5.41,0,0.62,9.65,0,0,22.47,0,0,0.88,0,0,1.73,0,1.51
108-118,0,0,0,0,1.34,0.72,1.09,0,0,0.53,2.3,0,0,0,0.62,0,0,0,0,8.63,0,6.23,23.22,0,0,15.99,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,1.01,0,0,1.15,1.61,7.23,0,0,11.68,0,5.12,14.58,0,0,2.8,0,0,10.59,3.34,0
