stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,2.45,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.4,0,6.56,0,0,0,0,0,0,0,0,0,0,0,8.48,0,0,3.93,6.63,0,1.57,0,0,0,0,1.41,0,0,0
 36-46,0,0,0,0,0,0,3.44,0,0,2.07,1.59,0,0,0,0,0,0.57,0,11.68,0,0,4.93,25.44,0,0,0,0,0,0,5.9,0,0,0
 48-58,0,0,0,0,0,0,6.33,0,0,0,10.78,0,0,0.92,0,0,0.45,0.96,36.42,0,9.96,7.93,24.07,0.38,0,0,0,0,0,19.25,1.79,0,0
 60-70,0,0,0,7.48,0,0,0.71,0,0,0,4.28,0,1.17,0,0,0,0,0,92.9,0,6.45,9.19,23.71,0,0,0,0,0,0,10.05,27.33,0,19.71
 72-82,0,1.56,0,0,0,0,7.43,4.4,0,6.25,16.85,0,1.02,0.65,0,0,0,0,373.16,0,29.06,9.15,26.18,0,0,0,0.89,0,0.53,0,59.91,0,67.5
 84-94,0,0,0,0,0,0,12.34,4.04,0,8.68,32.04,0,0,2.37,0,0,0,0,284.81,0,17.6,7.93,9.49,1.32,0,0.65,0,0,0,1.62,88.87,0.6,62.85
 96-106,0,0,0,1.15,0,0,29.55,6.51,1.15,0,43.06,0,0,3.55,0.78,2.21,0,0,487.51,0,27.99,15.01,29.45,0,0,0,2.14,0,0,0,62.09,2.1,140.45
108-118,0,0,0,3.88,0,0,22.96,6.93,0,1.6,41.8,0.79,1.81,1.59,0,1.15,0,0,593.64,0,24.9,7.93,47.33,0.77,0,0,2.46,1.42,0,0,40.59,0,88.26
120,0,0,0,0,2.35,2.68,3.54,2.34,0,0,35.11,0,0,0,0,0,0,7.34,510.96,1.56,20.16,12.91,34.94,0,0,0,0,0,0,1.75,15.7,2.95,105.95
