stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature
  3-4,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.57,0,3.34,0,0,0,0,0,0,0,0,0,0,0,29.6,0,0,4.91,0,3.79,0,0,0
 10-12,0,0,0,0,0,12.32,0,0,0,0,0,0,0,0,35.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.88,0,0,0,1.46,0,0,0,0,0,0.92,0,0,0,0,0,0.95,0,2.34
 24-34,0,0,0,0,1.61,0,0,0,0,0,1.75,1.41,0,0,6.48,0.76,0.61,0,0.73,0,0,1.97,31.09
 36-46,0,0,0,0,0.79,0,1.23,0,0,0,0,10.4,0,0,1.15,0,0,0,0,0,0,0,6.69
 48-58,0,0,0,1.29,4.01,0,0,0,0,0,0.56,0,0,0.53,2.39,0,0,0,0,0,0,0.46,4.2
 60-70,0,0,0,0.9,8.99,0,0,0,0,0,1.28,3.24,0,0,5.87,0,0,0,0,0,0,0,7.84
 72-82,0,0,0,0,14.92,0,0,0,0,0,0.49,1.74,0,0,3.06,0,0,0,0,0,0,3.47,1.19
 84-94,0,0,0,0,20.77,1.18,0,0,0,0.8,2.07,3.29,1.99,0,2.38,0,0,0,0,0,0,0,5.49
 96-106,0,0,0,6.65,15.31,0,0,0,0,1.64,1.89,2.48,0,0,3.02,0,0,0,0,0,0,0,1.79
108-118,0,0,0,0.67,12.64,0,0,0,4.8,3.05,2.55,0,1.48,0,3.34,0,0,0,0,0,0,0.46,5.19
120,0,0,0,0,61.72,0,0,4.69,1.61,0,16.54,0,5.31,0,1.35,0,0,0,0,0,0,0,5.76
