stage,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,mesenchyme,mural.cell,neural,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,3.21,3.68,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.08,0,0,0,6.14,0,0,0
 14-21,1.62,0,0,0,1.09,0,0,1.51,0,3.46,0,0,0,0,0.9,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,1.54,0,0
 36-46,0,0,0.58,0,0,0.57,0,0,0,4.57,0,0,0,0,0.72,0,0
 48-58,0,0,0,0,0,0,0,2.07,0,1.43,0,0,0,0,0,0,0
 60-70,0,0.67,0,0.69,0,0,1.42,7.42,0,3.61,0,0,1.94,0,0,0,0
 72-82,0,3.05,0,0,0,0,0,5.74,0,0,0,0,0,0,0,0,0
 84-94,0,1.59,0,0,0,0,0,3,2.76,0,0,0,0,0,0.89,0,0
 96-106,1.1,7.07,2.39,0,0,0,0,22.35,4.02,0,0,0,0,0,0,0,0.61
108-118,0,0.79,0,0,0,0,0,4.79,0,5.18,0,1.1,0,0,0,1.45,0
120,0,12.06,0,3.1,0,0,0,0,0,6.97,0,0,0,0,0,4.29,0
