stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,82.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.71,0,0,8.72,0,0,0,18.2,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,156.77,3.56,0,0,50.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.21,0,0,0,12.67,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,246.87,0,0,0,59.22,0,0,4.56,4.5,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,20.47,9.1,0,8.92,0,0.88,0,6.73,2.99,1.93,0,0,0.95,0,0,0,8.56,0,0,11.44,132.07,0,0,0,1.76,0,10.34,16.76,0,15.34,52.65,0,0,3.69,0,0
 24-34,0,0,0.71,0.67,1.51,0,0,16.19,0,0,0,2.64,0,0,0,0,0,0,0.68,0,9.68,0,0,6.1,158.88,0,0.75,3.84,0,0,3.26,0,0,2.12,30.65,0,0,1.61,0,0
 36-46,0,0,0,0,8.8,0,0,31.1,0,0,0.6,3.26,0,0,0,0,0,0.74,0,2.66,16.09,2.12,1.43,4.91,153.79,0,1.21,0,0,0,3.59,2.6,0,0,31.24,0,0,0.8,0,0
 48-58,0,0,0,0,0.98,0,0,49.27,0,0,1.74,9.46,0,0,0,0.5,0,0,0.4,1.87,15.58,0,0,7.24,200.16,0,2.36,4.08,0,0,2.3,0,0,0,26.48,0,0,0.4,0,4.74
 60-70,0,0,0,0,0,0,0,53.3,0,0,0,5.99,0,0,0,7.21,0,0,0,0,9.24,0,0,0,132.93,1.31,0,0,0,0,9.92,0,0,0,31.56,0,0,1.05,0,0
 72-82,0,0,0,0,0.96,1.1,0,131.2,0,0.62,0.74,33.18,0,0,0.75,3.3,0,0,2.28,0,44,5.34,1.76,6.14,267.41,0,4.72,3.9,0,0,12.6,0,0,0,23.64,0,3.4,6.47,0,5.53
 84-94,0,0,0.94,0,4.14,3.75,0,105.72,0.91,1.01,0,23.14,0,0,0.98,0.98,1.18,1.93,0.73,0,48.39,0,4.19,0,215.52,0,3.22,3.66,0,0,44.52,0,0,0,22.19,0,0,11.02,2.7,0
 96-106,0,0,0,0,10.2,7.3,2.47,75.16,0.78,1.74,0,28.41,0.57,0,0.7,2.83,1.61,0.61,0,2.87,45.2,0,0,4.2,157.77,0.62,3.14,2.4,0,2.66,19.74,0,0,0,15.81,0,0,18.91,1.02,0.62
108-118,0,0,0.76,0,8.07,1.18,1.32,50.72,0,1.37,2.13,29.44,0.43,0,1.03,8.16,1.73,5.32,0,0,65.21,0,0.98,6.16,225.97,0,2.61,8.5,0,1.8,38.59,0,1.91,0,13.13,1.09,1.43,8.6,0.49,0.68
120,0,0,0,0,3.84,2.85,0,87.12,0,4.06,0,23.87,0,0,0,12.6,2.58,0,0,3.21,54.82,0,0,3.16,196.34,1.73,2.74,3.15,0,0,33.87,0,0,0,35.04,0,0,2.95,2.31,0
