stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.7,47.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.21,3.99,0,0,47.02,0,4.3,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.09,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.66,0,0,0,20.99,0,4.8,6.12,0,0,0,0,0,0,0,0
 14-21,0,0,3.28,0,1.74,0.81,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,62.05,0,0,0,0,0,0,0.92,0.86,1.33,0.88,16.66,0,0,0,0
 24-34,0,0,0,0,0,0,3.35,0.68,0,0,0,0,0.82,0,0,0,0.7,0,0.87,2.1,0,2.17,364.37,1.11,0.64,0,0,0,0,0,3.74,3.25,2.52,46.05,0,11.23,0,0
 36-46,0,0,0,0,0,0,30.37,13.65,0,0,2.29,0,2.53,0,0,0,0,0,4.72,2.62,0,0.68,460.69,0,1.2,0,0,0,0,0,3.41,4.75,0,54.98,0,2.32,0,1.54
 48-58,0,0,0,0,0,0,89.46,10.98,6.07,0,12.4,0,0.56,0,0,0,0,0.39,5.29,6.92,0,0.41,331.91,0,0,1.22,0,0,0,0,6.54,2.4,0,44.37,0,0.79,0,0
 60-70,0,0,0,0,5.08,0,207.94,1.38,0,0,34.25,0.62,0,4.96,0,0,0,0,0.72,6.44,0,0,237.95,0,0,0,0,0,0,0,5.86,2.2,0,33.28,0,1.52,0,0
 72-82,0,0,0,0,5.27,1.84,160.08,2.56,0,0,13.11,0,0,4.55,0,4.27,0.65,0,4.11,7.55,0,0,155.34,0,0,0,0,0,0,0,21.96,0,0,10.08,0,9.34,0,0
 84-94,0,0,0,0,0,0.59,107.17,2.15,0,0,23.52,0,0,3.12,0.82,0,0,0,14.53,9.55,3.76,1.44,159.27,0,0,0,0,4.53,0,0,44.13,2.78,0,2.68,0,4.23,0,0
 96-106,0,0,0,0,4.21,0,91.49,0,0,0,10.86,0,0,8.63,0,0,0,0,1.06,12.66,0,2.6,147.56,0,0,0,1.2,0,0,0,26.27,0,0,0,0,11.25,3,0
108-118,0,0,0,0,0.51,0,119.89,0.45,0,0.44,27.47,1.09,2.03,5.3,0,0,0.53,3.24,23.27,4.92,0,0,117.29,0,1.44,0,0,0,0,0,43.67,2.08,0,4.5,1.13,1.68,0,0
120,0,0,0,0,18.13,0,92.01,22.62,0,0,0,1.66,0,16.17,0,0,0,3.84,0,26.76,0,2.8,204.01,0,0,0,0,1.63,0,0,33.24,0,0,3.5,0,0,0,0
