stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.75,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,62.72,0,0,0,28.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3,0,0,0,25.51,0,0,29.15,0,0,0,0,0,0,0
 14-21,0,0,0,4.24,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,17.47,1.71,0,0,0,0,0.89,0,0,9.3,0,0,0.85,0,0
 24-34,0,0,1.05,3.12,0,0,1.54,0,0,0,0,0,0,0,0.78,0,0,1.39,2.26,202.74,5.46,16.49,0,0,0,0,0,0,78.34,0,0,6.67,0,0
 36-46,0,0,0,1.77,4.5,0,8.05,0,0,0,3.16,0,0,0,0,0,0,2,0,437.6,5.49,9.53,0,0,0.8,0,0,0,140.44,0,0,0,0,0
 48-58,0,0,0,4.46,0,0,75.8,0,0.47,0.46,3.76,0,0,0,0,2.58,0,10.09,0.59,968.96,12.46,13.4,0.38,0,4.11,0,0,0,165.14,0,0,11.21,0,1.42
 60-70,0,0,0,0.94,0,0,191,0,0,0,7.95,0,0,0,0,0,0,18.11,0,1363.64,1.45,5.35,1.97,0,0,0,0,1.33,192.78,0,0,0.84,0,1.36
 72-82,0,0,0,11.48,0,0,203.36,0,1.4,0,17.04,1.4,0,0,0,0,0,11.3,1.03,1095.48,0,16.77,0.75,0,0,0,0,0,111.79,2.31,0,0.5,0,0
 84-94,0,0,0,5.07,0,0,146.14,0,0,2.76,19.39,0,1.02,1.01,0,0,0,9.12,0,845.39,0.67,8.89,0.69,0,0,0,0,0,63.76,0,3.75,0,0,0
 96-106,0,0,0,5.2,0,0,138.63,0,0.97,1.54,10.39,0,0,3.67,1.23,0,4.95,10.77,2.41,725.76,1.39,21.38,0,0,5.18,0,0,0,34.02,0,0,0.71,2.82,0
108-118,0,0,0,4.69,2.28,1.5,156.64,1.3,0,0,10.81,2.74,0.63,1.05,0,5.97,0,8.37,0.92,812.99,0.68,14.17,0,0,1.97,0,0,0.43,24.91,1.23,1.88,1.68,0,0
120,0,0,0,1.89,14.37,0,161.95,0,0,0,16.33,0,0,0,2.42,0,0,7.08,0,1235.51,4.11,7.9,0,0,0,0,0,0,59.92,0,0,4.26,0,0
