stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,125.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.63,157.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.36,0,0,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.31,0,0,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.46,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.66,0,5.06,0,0,25.8,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,454.69,5.55,0,0,52.21,0,0,19.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.33,10.16,0,17.86,0,0,0,3.19,0.97,0,0,0,0,0,0,0,2.52,0,0,3,163.87,1.11,0.98,0,0,0,0,0,1.06,0,9.77,24.04,23.62,0,0,0,0,0
 24-34,0,0,1.58,0.73,1.97,0,39.37,11.97,0,0,1.94,0.66,0,0,0,0.79,0,0,0,8.2,0,0,27.03,423.56,0.81,4.37,5.12,0,0.99,12.97,0,0,0.61,5.25,33.64,84.97,0,0,9.44,0,0
 36-46,0,0,0,0,3.87,0,34.91,24.26,0,0,36.2,0.57,0,0,0,0,0,0,0,5.1,0,0,6.06,541.79,0,20,4.54,0,0,5.21,0,0,0.67,11.43,2.39,104.54,0,0,0.58,0,0
 48-58,0,0,0,0,0,0,135.9,7.89,0.51,0,40.39,1.3,0,0,0,0,0.85,0.44,1.44,5.5,0,0,3.31,548.89,0,8.59,4.58,0,0,0,0,0,0,1.44,0,105.8,0,0,1.69,0,6.55
 60-70,0,0,0.57,0,2.57,0,513.2,6.33,0,0,93.37,1.43,0,0.76,0,0,0,0,1.33,22.44,3.03,2.11,0.61,772.27,0,1.89,9.95,0,1.13,0,0,0,2.82,5.06,0,126.13,0,0,0.82,0,1.82
 72-82,0,0,1.56,0,6.45,7.35,564.74,0,0,3.85,89.5,0,0,0,0,0,0.55,1.51,0,26.06,0,0,2.65,763.36,1.94,11.27,11.28,0,0,0,0,0,0,1.08,0,79.09,0,1.57,0,0,8.66
 84-94,0,0,3.52,0,0.66,6.6,388.86,0,0.63,0,100.32,0.63,0,0,0,1,0,2.37,5.89,44.55,0,0,2.16,543.97,0.67,9.79,20.07,0,0,6.42,0,0,0,0.61,0,77.28,0,1.38,5.88,1.36,0
 96-106,0,0,0,0,5.2,8.68,342.71,0,0,2.5,81.28,1.3,0,0.91,2.67,0.63,0,4.66,1.78,46.73,0,1.14,7.88,532.93,0,16.66,17.04,0,0,8.46,0,0,0.7,0.76,0,42.04,0,0,2.05,0,0
108-118,0,0,0,0,12.75,0,254.56,1.43,1.72,1.86,81.62,0.75,0,0,1.35,0.44,0,0.95,2.23,39.69,0,0,3.25,607.28,0,12.7,32.4,0,2.81,0,0,0,2.25,3.88,0,37.38,7.32,0.99,4.48,0,0
120,2.31,0,4.34,0,3.35,0,161.78,2.9,0,0,269.24,0,0,0,0,0,0,6.94,0,37.16,0,0,9.04,1068.69,0,8.98,16.99,0,0,3.27,0,1.12,0,2.33,0,63.15,0,0,0,0,0
