stage,axial,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0
 14-21,0.89,0,0,0,0,0,0,1.15,0,25.92,0,0,0.84,0,0,3.53,55.41,1.03,0,0,0.83,0,0
 24-34,0,0,1.63,0.62,0,0,0,0.92,0,0,0,0,3.05,0,0,5.09,186.22,0,0,0,0,0.95,0
 36-46,0,0,1.25,2.83,0.78,0.88,0,0,0,0,0,0,3.09,0,0,5.23,467.7,0,0,0,0,1.74,0
 48-58,0.77,0,0,3.39,0,0,0.4,0.61,0,0,0,0,1.09,0,0.78,14.64,536.02,0,0,0,0,0.64,0
 60-70,2.55,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,20.3,367.32,0,0,0,0,3.92,0
 72-82,0,0.58,0,12.18,0,0,0,1.56,1.47,1.01,0,0,3.17,1.97,0,11.8,174.3,0,0,0,0,0,0.82
 84-94,0,0,4.7,2.96,0,0,0,1.12,1.82,0,0,0,3.95,4.31,0,1.82,392.93,0,0,0,0,0,0
 96-106,0,0,1.22,4.65,0,0,0,14.71,8.15,0,0,0,4.17,4.06,0,8.69,203.74,0,0,1.71,0,0,0
108-118,1.01,0,0.88,7.73,0,0,0,8.33,4.69,0,0.56,7.83,6.08,4.03,0,20.1,295.76,0,3.28,0,0,0,0
120,3.48,0,0,0,1.09,0,1.49,2.2,0,0,0,0,0,0,1.11,1.84,381.84,0,0,0,0,0,0
