stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.84,664.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.75,1883.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.74,7.03,0,0,20.23,0,11.31,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.62,27.11,0,23.61,0,0,17.09,0,0,0,0,14.05,0,0,0,0,0,0,0,0,0,650.05,31.59,0,0,111.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.05,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.63,0,0,0,22.75,0,0,0,0,3.78,0,0,0,0,0,0,0,0
 14-21,0,0,2.51,0,15.09,0.86,1.23,0,0,3.18,1.13,0,0,0,0,0,0,1.92,0,0,3.48,92.45,2.44,1.37,0,2.05,0,0,0,15.45,0,0,2.67,19.2,0,0,0,0,0
 24-34,0,0,1.23,0,0.89,0,21.03,0,0,1.16,0,0,0,0,0.97,0,0,15.1,0.62,0,8.99,169.88,0,0.75,0,0,0,2.91,0,0,0,1.19,2.61,44.87,0,0,4.75,0,0
 36-46,0,0,0,0,3.67,0,15.2,5.12,0,1.16,0,0,0,0,0,0,0,5.51,0,0,2.22,90.67,0,0.68,0,0,0,2.98,0.81,8.18,0,0,0,18.51,0,0,0,0,2.73
 48-58,0,0,0,0,1.79,0,59.1,0,0,0,0.69,0,0,0,0,0,0,18.42,0,1.2,11.11,107.99,0,0,0.97,0,0,0,0,0,0,0,0,8.49,0,0,3.23,0,0
 60-70,0,0,0,0,0,0,172.33,0,0,7.72,0.85,0,0,0,0,0,0,33.64,0,0,0.68,113.65,0,0,0,0,0,0.6,0,0,0,0,0,8.07,3.21,0,0,0,0
 72-82,0,0,0,0,0,5.21,229.6,0.55,0.69,6.46,0.63,0,3.07,0,0,0,0,17.73,0,0,4.06,98.43,0,0,1.7,0,1.12,4.08,0,0,0,0,0,5.57,0,0,0.66,0,0.5
 84-94,0,0,0,0,2.38,11.35,153.76,0,1.83,0.85,0,0,0,1.89,0,1.57,0,14.28,0,2.28,2.44,46.69,0,0,0,0,0,0.66,0,0,0,0,0,2.96,0,0.99,2.82,1.09,0
 96-106,0,0,0,0,0.62,1.97,233.22,0,0,6.87,0,0,0,1.73,0,0,0.65,7.52,0,0,1.02,48.59,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0
108-118,0,0,0,0,0,4.29,220.3,0.55,1.84,0.99,0,0,0,0,0,0,0,15.01,0,6.17,5.06,46.79,0,1.39,0,0,0,0.42,0,0,0.47,0,0,0,0,1.36,0,0.66,0
120,0,0,0,0,1.47,13.71,115.35,0,0,4.07,0,0,2.63,0,0,3.39,1.61,12.33,0,0,0,83.31,0,8.55,0,0,0,1.09,0,0,0,0,0,9.95,0,0,6.69,0,0
