stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,122.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,108.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0
  7-9,4.35,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,55.29,32.12,0,0,0,0,0,0
 10-12,0,0,4.98,0,7.56,0,0,0,0,0,0,0,0,0,0,12.66,9.54,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62,0,0,0,1.08,1.53,3.55,0
 24-34,0,1.1,0,0,2.08,0,0,0,0,0,0,3.62,0,0,0.62,21.97,0,0,0.62,0,1.38,6.8,0
 36-46,0,0,0,0.64,19.3,0.63,1.08,0,0,0,0,2.12,1.01,0,0.63,25.63,0,0,0,0,0,5.5,0
 48-58,0,0,0,0,6.16,0,0,0,0,0,0,11.82,0,0,0,25.42,0,0,0,0,0,3.09,0.66
 60-70,0,0,0,0,2.81,0,0,0,0,0,0,14.23,0,1.32,1.15,26.31,0,0,0,0,0,1.84,1.17
 72-82,0,0,0,0,0.67,0,0,0,0,0,0,1.21,0,0,1.57,8.91,0,0,0,0,0,1.36,0
 84-94,0,0,0,0,9.76,0,5.68,0,0,0,0,9.96,0,0.61,3.94,9.29,0,0,0,0,0,0,0
 96-106,0,0,0,0,10.72,0,0,0,0,0,9.55,2.12,0,0,0,11.61,0,1.6,0,0,0,0,0
108-118,0,0,0,0.98,3.6,0,0.99,0.98,0,0,0,11.47,0,0,0.91,5.46,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,31.77,0,0,0,0,0,0,0
