stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.71,594.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.35,707.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,18.57,0,8.98,0,0,0,0,0,0,0,0,0,0
  7-9,45.88,14.19,12.4,0,0,79.61,0,0,0,0,0,36.35,0,0,0,0,0,0,0,0,0,0,0,504.17,87.66,0,0,224.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,16.18,39.61,0,0,64.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.04,189.78,0,0,126.19,0,0,0,0,14.87,0,0,0,0,0,0,0
 14-21,0,0,4.03,168.86,19.46,7.7,0,8.41,0,97.5,4.88,0,1.26,0,2.71,0,0,6.82,1.79,83.19,0,0,41.11,187.26,150.69,1.81,15.25,16.16,0,0,0,25.2,65.34,22.36,425.74,0,0,4.03,0,0
 24-34,0,0,0,52.56,1.32,7.32,0,20.32,6.24,57.5,1.3,0,9.4,0,3.59,0,1.35,6.82,2.53,119.42,0,0,76.06,204.38,72.05,0,9.65,0,0,1.74,0,0,6.1,10.75,163.43,0,0,19.8,0,1.22
 36-46,0,0,0,31.09,0,28.97,0,22.83,32.11,74.68,0,0,13.05,0,0,1.12,0,0,3.4,183.11,0.65,3.32,71.67,209.14,64.63,0,4.09,0,0,23.62,0,5.49,6.47,0,154.49,0,0,9.43,0,15.56
 48-58,0,0,0,32.85,0,35.86,0,8.44,42.26,65.31,0,0,2.19,3.09,0,0,0.48,0.96,12.85,371.97,0,4.24,46.83,117.47,42.39,0.82,7.28,0,0.56,13.16,0,0,0.49,0,100.57,0,0.92,8.93,0,6.77
 60-70,0,0,0,19.52,0,28.63,0,10.44,34.33,63.53,0,0,0.9,0,0,8.95,2.11,0,7.43,592.85,0,8.86,29.55,78.56,25.52,1.42,20.26,0,0.66,4.57,0,0,2.18,0,30.55,0,4.21,4.76,4.34,4.71
 72-82,0,0,0,11.87,0,26.89,0.53,0.62,32.38,57.43,0,0,2.55,0.7,3.4,12.74,4.06,0,0,583.52,0,8.26,31.25,89.1,19.17,0.97,8.83,0,6.02,1.16,0,0,2.59,0,14.62,1.33,8.02,25.07,6.89,11.1
 84-94,0,0,0,17.66,3.41,23.48,0,2.41,47.18,32.61,3.08,0,0.88,5.57,2.93,4.04,1.53,0,7.95,582.14,0.58,5.57,12.04,51.13,21.72,6.42,16.48,0,5.54,7.1,1.4,0,1.38,0,12.97,0,10.19,15.41,7.97,6.06
 96-106,0,0,0,10.11,0,25.68,0,2.4,19.68,59.9,3.62,0,9.86,4.09,7.11,4.48,3.47,0,0,294.25,0,0.7,17.88,59.23,11.11,2.64,15.79,0,0.81,2.02,0,0,1.6,0,7.98,1.68,0.62,7.56,8.14,3.15
108-118,0,0,0,6.64,0,19.64,0,0.47,23.35,41.06,1.11,0,1.1,7.3,7.59,18.61,1.84,0,0,234.18,0,1.88,20.08,78.21,10.49,3.09,12.75,0,2.52,5.35,0,0,4.24,0,13.06,0,4.71,18.4,2.77,8.17
120,0,0,0,14.13,0,10.5,0,1.67,0,7.23,0,0,1.15,1.92,2.57,1.05,4.64,1.86,0,136.12,0,7.76,2.54,68.34,7.2,2.95,19.42,0,2.63,0,0,0,0,0,4.11,0,7.81,0,16.55,0
