stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.8,262.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.42,389.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.04,0,0,0,9.77,0,37.01,0,0,0,0,0,0
  7-9,4.29,0,32.14,0,0,36.25,0,0,0,0,10.75,0,0,0,0,0,0,0,0,236.03,13.04,0,0,59.69,0,0,0,0,0,0,0,0
 10-12,0,9.14,22.96,0,0,31.13,0,0,0,0,0,0,0,0,0,0,0,0,0,418.18,30.05,0,0,94.78,0,3.1,3.49,0,0,0,0,0
 14-21,0,0,0,22.53,1.98,0.82,0,0,1.18,0,0,0,0,0,0,2.51,0,0,3.92,26.55,1.68,0,0,1.04,0,2.03,0,3.85,12.06,1.26,0,1.92
 24-34,0,0,0,4.33,0.81,0.77,0.7,0,0.6,0,0,1.34,0,0,0,5.38,0,0,8.57,84.55,1.76,1.28,1.39,0,0,0.65,0,0.6,18.79,0.76,0,0
 36-46,0,0,0,3.71,0,4.57,0,0,7.9,0,0,0,0,1.32,0,7.84,0.59,0,1.73,140.05,0,4.66,0,0,0,5.13,0,0,26.24,1.49,0,0
 48-58,0,0,0,2.27,0,1.67,0,0.38,11.67,0,0,0,0,0,0,6.92,0,0,0.49,55.87,0,1.65,0,0,0,1.23,0,0,16.73,3.55,0,0
 60-70,0,0,0,3.1,0,5.6,0,0,1.6,0,1.21,0,0,0,0,4.64,0,0,0.93,58.63,0,0.98,0,0,0,4.07,0,0,11.01,0,0,0
 72-82,0,0,0,2.33,0,8.46,0,3.61,7.21,0,0,0,0,0,0,3.89,0,1.07,0,54.72,1.09,1.7,0.54,0,0,5.78,0,0,9.77,0,0,0
 84-94,0,0,0,3.77,0,9.64,0,1.03,2.39,0,0,0,0,0,0,1.93,0,0,0,54.82,0,6.35,0,0,0,0.75,0,0,2.72,0,0.57,0
 96-106,0,0,0,6.31,0,12.18,1.28,3.65,4.97,0.85,0,1.04,0,0,0,7.76,0,0,1.55,57.21,0,2.99,1.24,0,0,3,0,0,3.11,0,0,0
108-118,0,0,0,1.78,0,1.83,0,0,1.32,0,0,0,2.85,0,0,1.47,0,0,0,41.47,0,0.81,3.65,0,2.26,1.04,0,0,3.16,3.59,0,0
120,0,0,0,4.36,0,5.81,0,0,0,0,0,0,0,0,2.19,2.5,0,0,0,32.79,0,0,0,0,0,1.08,0,0,17.35,0,0,0
