stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,6.71,77.05,37.09,18.47,0,0,1.62,2.58,2.47,1.1,0,0.8,0,2.14,63.47,0,29.46,621.75,64.5,0.95,3.02,47.84,0,0.9,270.44,4.04,11.33,87.24,246.19,0,1.23,0
 24-34,0.62,1.27,9.78,12.3,90.85,3.62,1.53,6.6,0,0,1.37,0,0,2.91,0,107.1,0.81,59.3,1424.24,2.24,1.59,4.85,0,1.77,0,0,0.88,3.38,15.57,559.19,0,19.77,6.94
 36-46,0,0,1.5,0,145.24,0,1.88,3.06,0,0,0,0.64,0,0,0,107.66,0.89,21.92,590.71,1.44,1.45,1.45,0,0,0,0,0,0,0,299.33,0,6.02,0
 48-58,0,0,0.53,0,72.95,0,1.41,4.81,0,0,0,0,0,0,0,48.61,1.23,11.07,84.67,0,0,0,0,0,0,0,0,0,0,71.95,0,3.85,1.99
 60-70,0,0,0,0,44.92,0,1.34,0.63,0,0,0,0,0,0,0,26.49,0,1.44,16.06,0,0,0,0,0,0,0,0,0,0,12.23,0.8,0,0
 72-82,0,0,0,0,4.77,0,0.88,2.24,0,0,0,0,0,0,0,13.24,0,3.42,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,10.55,0,4.59,0,0,0,0,0,0,0,0,4.74,0,8.65,5.36,3.7,0,0,0,0,0,0,0,0,0,0,0,0.83,0
 96-106,0,0,0,0,0.63,0,2.1,0,0,0,0,0,0,0,0,3.78,0,2.64,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,6.35,0,1.65,0,0,0,0,0,0,0,0,5.2,0,1.71,3.46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0,1.87,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
