stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,72.05,2061.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.93,0,0,0,0,0,0,0
  5-6,14.26,1131.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8,0,0,0,6.56,10.51,0,0,0,0,0,0,0
  7-9,11.31,61.98,0,23.02,0,0,158.11,0,0,0,27.25,0,0,0,0,0,0,0,0,0,588.23,12.06,0,0,242.96,0,14.25,0,0,0,0,0,0
 10-12,0,19.56,0,46.84,0,19.63,38.68,0,0,0,13.92,0,0,0,0,0,0,0,0,0,442.94,16.58,0,0,135.03,0,0,0,9.52,0,0,0,0
 14-21,0.89,0,0,0.96,16.21,4.59,4.86,0,0,1.13,0,0,0,0,0,0,0,15.3,0,1.88,104.27,0,4.28,0,2.4,13.28,0,8.94,1.66,3.46,21.13,0,0
 24-34,0,0,0,0,2.73,1.4,39.31,0,3.14,0.9,1.4,0,1.26,0.63,0,0,0,23.24,0,5.39,360.19,0,4.07,1.43,0,3.68,0,0,0.98,0.75,53.78,0,3.36
 36-46,0,0,0,0,1.91,0,87.91,0,6.09,0,0,1.67,0,0,0,0,0,21.87,4.03,3.28,286.65,0,1.41,0,0,1.48,0,0,0,0,44.3,0,9.13
 48-58,0,0,0,0,2.16,0,107.91,0.37,12.49,0,0,0.44,0,0,0,0,0,16.5,0.63,2.14,184.31,0,0,0,0,0,0,0,0,0,27.86,0,2.15
 60-70,0,0,0,0,1.45,0,116.11,1.14,15.91,0,0,0,0,0,0.91,0.87,0,34.79,14.45,1.37,130.85,0,0,0,0,0,0,0,0,0,17.67,2.51,4.75
 72-82,0,0,0.62,0,2.28,3.17,58.7,0,22.97,1.01,0,0,0,0.72,0,0,0.49,8.11,1.11,1.74,55.07,0,0,2.37,0,0,0,0,0,0,2.52,0,1.04
 84-94,0,0,0,0,3.1,0,66.68,0,32.59,0,0,0,1.17,0,1.41,0.66,0,21.77,3.19,4.35,37.65,0,0,0.61,0,0.96,0,0,0,0,15.97,0,0
 96-106,0,0,0,0,0.71,0,104.85,0,48.97,0,0,0,0,0,1.11,0,0,5.4,0,2.78,29.83,0,0.81,0.77,0,0,0,0,0,0,6.25,1.91,0
108-118,0,0,0,0,0.91,1.05,113.02,0,49.19,1.41,0,0,0,0,0,0,0,6.97,0,0.43,58.49,0,0,0,0,0,0,0,0,0,4.22,2,0.55
120,0,0,0,0,2.69,5.24,124.79,0,63.15,0,0,0,0,3.29,0,0,0,7.06,0,3.08,113.71,0,0,13.66,0,1.47,0,0,2.61,0,1.7,3.65,3.55
